Property ID,Construction year,Neighbourhood or locality,Type of building,Building condition,Number of frontages,Living area,Kitchen type,Bedrooms,Bathrooms,Shower rooms,Toilets,Basement,Furnished,Terrace surface,Terrace surface,Elevator,Accessible for disabled people,Swimming pool,Primary energy consumption,Energy class,Heating type,Price,Monthly charges,Cadastral income,Surface of the plot,Garden,Garden surface,Terrace,Terrace surface,Terrace surface
10579836,1920.0,Genappe,None,To be done up,2.0,142  m² square meters,Installed,4.0,2.0,1.0,3.0,Yes,No,None,None,No,No,No,276  kWh/m²  kilowatt hour per square meters,D,Gas,"Make an offer starting from  € 235,000  Make an offer starting from  235000 €",None,€ 460  460 €,342  m²  square meters,None,272  m²  square meters,None,None,None
10579834,None,None,None,As new,2.0,None,Hyper equipped,2.0,1.0,None,None,Yes,None,None,None,None,None,None,162  kWh/m²  kilowatt hour per square meters,B,Gas,"€ 398,000  398000 €",None,None,387  m²  square meters,None,None,Yes,None,None
10579833,1998.0,None,None,Good,4.0,126  m² square meters,None,3.0,1.0,None,None,None,No,None,None,None,None,None,495  kWh/m²  kilowatt hour per square meters,E,Electric,"€ 298,000  298000 €",None,€ 922  922 €,970  m²  square meters,None,None,None,None,None
10579832,1967.0,None,Bungalow,To renovate,4.0,187  m² square meters,None,3.0,1.0,None,None,None,No,None,None,No,No,No,386  kWh/m²  kilowatt hour per square meters,D,Fuel oil,"€ 369,000  369000 €",None,€ 991  991 €,1000  m²  square meters,None,None,None,None,None
10579831,1945.0,None,None,To be done up,4.0,115  m² square meters,None,3.0,2.0,None,None,None,No,None,None,None,None,None,508  kWh/m²  kilowatt hour per square meters,F,Gas,"Make an offer starting from  € 199,000  Make an offer starting from  199000 €",None,None,1990  m²  square meters,None,None,None,None,None
10579830,1984.0,None,None,Good,4.0,279  m² square meters,Semi equipped,3.0,1.0,None,2.0,Yes,None,None,None,None,None,None,421  kWh/m²  kilowatt hour per square meters,E,Gas,"€ 419,000  419000 €",None,"€ 1,320  1320 €",1677  m²  square meters,None,None,Yes,None,None
10579824,2002.0,None,None,Good,2.0,115  m² square meters,Hyper equipped,2.0,1.0,None,None,None,No,None,None,No,No,No,120  kWh/m²  kilowatt hour per square meters,B,Gas,"€ 275,000  275000 €",None,None,None,None,None,Yes,None,None
10579823,1989.0,None,None,Good,3.0,66  m² square meters,None,1.0,1.0,None,None,None,No,None,None,Yes,No,No,208  kWh/m²  kilowatt hour per square meters,C,Fuel oil,"€ 179,000  179000 €",None,€ 743  743 €,None,None,None,Yes,None,None
10569863,1877.0,Zuiden van Antwerpen,None,To renovate,4.0,370  m² square meters,Installed,7.0,1.0,None,1.0,Yes,None,50  m²  square meters,50  m²  square meters,No,None,None,584  kWh/m²  kilowatt hour per square meters,F,Fuel oil,"€ 850,000  850000 €",None,"€ 1,221  1221 €",1269  m²  square meters,None,1060  m²  square meters,None,50  m²  square meters,50  m²  square meters
10578381,1962.0,Omgeving Kraainem,None,Good,4.0,200  m² square meters,Hyper equipped,3.0,1.0,None,2.0,Yes,No,None,None,No,No,No,418  kWh/m²  kilowatt hour per square meters,E,Gas,"€ 775,000  775000 €",None,"€ 2,692  2692 €",669  m²  square meters,None,None,Yes,None,None
10579649,2008.0,None,None,As new,3.0,200  m² square meters,USA hyper equipped,5.0,2.0,None,3.0,None,None,None,None,None,None,None,133  kWh/m²  kilowatt hour per square meters,B,None,"€ 675,000  675000 €",None,"€ 1,365  1365 €",234  m²  square meters,None,150  m²  square meters,Yes,None,None
10569004,2005.0,None,None,Good,4.0,41  m² square meters,Installed,None,1.0,None,1.0,Yes,Yes,None,None,Yes,None,None,234  kWh/m²  kilowatt hour per square meters,C,Electric,"€ 192,000  192000 €",None,€ 604  604 €,None,None,None,Yes,None,None
10567685,1976.0,None,None,Good,2.0,51  m² square meters,Semi equipped,1.0,1.0,None,1.0,Yes,No,2  m²  square meters,2  m²  square meters,Yes,None,Yes,79  kWh/m²  kilowatt hour per square meters,B,Gas,"€ 195,000  195000 €",€ 120  120 €,€ 867  867 €,None,None,None,None,2  m²  square meters,2  m²  square meters
10568686,1996.0,None,None,Good,4.0,106  m² square meters,Installed,2.0,1.0,None,1.0,None,No,None,None,Yes,Yes,No,118  kWh/m²  kilowatt hour per square meters,C,Gas,"€ 265,000  265000 €",None,"€ 1,461  1461 €",None,None,None,None,None,None
10568915,1946.0,None,None,Good,2.0,235  m² square meters,USA semi equipped,4.0,2.0,2.0,2.0,Yes,No,None,None,No,None,No,217  kWh/m²  kilowatt hour per square meters,C,Fuel oil,"€ 325,000  325000 €",None,"€ 1,319  1319 €",122  m²  square meters,None,None,None,None,None
10567484,1960.0,Zone Sud Province du Luxembourg,None,To renovate,4.0,140  m² square meters,Semi equipped,5.0,1.0,None,2.0,None,No,800  m²  square meters,800  m²  square meters,No,None,No,315  kWh/m²  kilowatt hour per square meters,D,Fuel oil,"€ 329,000  329000 €",None,"€ 1,011  1011 €",1011  m²  square meters,None,200  m²  square meters,None,800  m²  square meters,800  m²  square meters
10567500,2007.0,None,None,As new,2.0,156  m² square meters,USA hyper equipped,2.0,1.0,1.0,2.0,Yes,None,40  m²  square meters,40  m²  square meters,Yes,Yes,No,207  kWh/m²  kilowatt hour per square meters,D,Gas,"€ 530,000  530000 €",None,"€ 2,135  2135 €",None,None,None,None,40  m²  square meters,40  m²  square meters
10567505,2007.0,Bruxelles 9 Communes,None,As new,2.0,156  m² square meters,USA hyper equipped,2.0,1.0,1.0,2.0,Yes,None,40  m²  square meters,40  m²  square meters,Yes,Yes,No,207  kWh/m²  kilowatt hour per square meters,D,Gas,"€ 530,000  530000 €",None,"€ 2,135  2135 €",None,None,None,None,40  m²  square meters,40  m²  square meters
10577975,1978.0,None,None,As new,None,95  m² square meters,Installed,2.0,2.0,None,2.0,None,None,21  m²  square meters,21  m²  square meters,Yes,No,No,131  kWh/m²  kilowatt hour per square meters,B,Gas,"€ 459,000  459000 €",None,None,None,Yes,None,None,21  m²  square meters,21  m²  square meters
10579367,1968.0,Bruxelles-Sud,None,Good,2.0,55  m² square meters,Semi equipped,1.0,1.0,None,1.0,Yes,No,25  m²  square meters,25  m²  square meters,Yes,No,No,720  kWh/m²  kilowatt hour per square meters,G,None,"€ 260,000  260000 €",€ 150  150 €,€ 852  852 €,None,None,None,None,25  m²  square meters,25  m²  square meters
10568405,2022.0,Gent en omstreken,None,As new,2.0,82  m² square meters,Hyper equipped,2.0,1.0,None,1.0,Yes,No,28  m²  square meters,28  m²  square meters,Yes,No,No,1  kWh/m²  kilowatt hour per square meters,A,None,"€ 370,000  370000 €",None,€ 1  1 €,None,None,None,None,28  m²  square meters,28  m²  square meters
10568403,2022.0,Gent en omstreken,None,As new,2.0,85  m² square meters,Hyper equipped,2.0,1.0,None,1.0,Yes,No,28  m²  square meters,28  m²  square meters,Yes,No,No,1  kWh/m²  kilowatt hour per square meters,A,None,"€ 395,000  395000 €",None,€ 1  1 €,None,None,None,None,28  m²  square meters,28  m²  square meters
10566825,2003.0,None,None,Good,3.0,118  m² square meters,USA installed,2.0,2.0,None,2.0,None,No,9  m²  square meters,9  m²  square meters,Yes,No,No,150  kWh/m²  kilowatt hour per square meters,B,Gas,"€ 349,000  349000 €",None,€ 958  958 €,None,None,None,None,9  m²  square meters,9  m²  square meters
10576363,1830.0,BRABANT FLAMAND,None,To renovate,3.0,120  m² square meters,Installed,3.0,1.0,None,1.0,None,No,None,None,No,No,No,1266  kWh/m²  kilowatt hour per square meters,F,Electric,"Make an offer starting from  € 295,000  Make an offer starting from  295000 €",None,€ 275  275 €,403  m²  square meters,None,280  m²  square meters,None,None,None
10576481,1990.0,None,None,Good,4.0,185  m² square meters,Installed,3.0,1.0,None,2.0,None,None,None,None,None,None,None,468  kWh/m²  kilowatt hour per square meters,E,Electric,"€ 419,000  419000 €",None,"€ 1,021  1021 €",558  m²  square meters,None,None,Yes,None,None
10575505,1850.0,None,None,To renovate,4.0,296  m² square meters,Installed,4.0,1.0,None,None,None,No,None,None,No,No,No,773  kWh/m²  kilowatt hour per square meters,F,Fuel oil,"€ 749,000  749000 €",None,€ 797  797 €,23417  m²  square meters,None,350  m²  square meters,None,None,None
10575843,1965.0,Les Woluwes,None,As new,2.0,140  m² square meters,USA installed,4.0,2.0,2.0,3.0,Yes,No,23  m²  square meters,23  m²  square meters,Yes,No,No,693  kWh/m²  kilowatt hour per square meters,G,Gas,"€ 535,000  535000 €",None,None,None,None,None,None,23  m²  square meters,23  m²  square meters
10578165,1900.0,Bruxelles (19 communes),None,As new,2.0,51  m² square meters,Installed,None,1.0,None,1.0,None,No,None,None,No,No,No,292  kWh/m²  kilowatt hour per square meters,F,None,"€ 190,000  190000 €",None,€ 461  461 €,None,None,None,None,None,None
10547322,2021.0,Gent en omstreken,None,As new,4.0,146  m² square meters,Hyper equipped,3.0,2.0,None,1.0,None,No,11  m²  square meters,11  m²  square meters,Yes,None,No,1  kWh/m²  kilowatt hour per square meters,A,Gas,"€ 421,000  421000 €",None,€ 1  1 €,None,None,None,None,11  m²  square meters,11  m²  square meters
10547320,2021.0,Gent en omstreken,None,As new,4.0,148  m² square meters,Hyper equipped,3.0,2.0,None,1.0,None,No,11  m²  square meters,11  m²  square meters,Yes,None,No,1  kWh/m²  kilowatt hour per square meters,A,Gas,"€ 426,000  426000 €",None,€ 1  1 €,None,None,None,None,11  m²  square meters,11  m²  square meters
10566398,1909.0,None,None,To be done up,2.0,282  m² square meters,Installed,4.0,1.0,None,2.0,Yes,None,40  m²  square meters,40  m²  square meters,None,None,None,240  kWh/m²  kilowatt hour per square meters,C,Gas,"€ 439,000  439000 €",None,€ 733  733 €,497  m²  square meters,Yes,None,None,40  m²  square meters,40  m²  square meters
10566078,1950.0,Oost-Vlaanderen,None,Good,4.0,450  m² square meters,Installed,5.0,2.0,1.0,2.0,Yes,No,None,None,No,No,No,453  kWh/m²  kilowatt hour per square meters,E,Fuel oil,"€ 615,000  615000 €",None,"€ 2,315  2315 €",1260  m²  square meters,None,1100  m²  square meters,Yes,None,None
10522729,1995.0,None,Villa,As new,4.0,339  m² square meters,Installed,5.0,2.0,None,2.0,None,None,13  m²  square meters,13  m²  square meters,No,No,No,142  kWh/m²  kilowatt hour per square meters,B,Gas,"€ 645,000  645000 €",None,"€ 2,221  2221 €",794  m²  square meters,None,580  m²  square meters,None,13  m²  square meters,13  m²  square meters
10574546,1956.0,Waterloo,None,Good,4.0,151  m² square meters,Installed,4.0,1.0,1.0,2.0,None,No,None,None,No,No,Yes,255  kWh/m²  kilowatt hour per square meters,C,Gas,"Make an offer starting from  € 595,000  Make an offer starting from  595000 €",None,"€ 2,638  2638 €",544  m²  square meters,None,460  m²  square meters,Yes,None,None
10574203,1925.0,Bruxelles,None,As new,4.0,700  m² square meters,USA hyper equipped,5.0,1.0,1.0,3.0,Yes,No,175  m²  square meters,175  m²  square meters,No,Yes,No,249  kWh/m²  kilowatt hour per square meters,E,Fuel oil,"€ 1,995,000  1995000 €",None,None,2500  m²  square meters,None,300  m²  square meters,None,175  m²  square meters,175  m²  square meters
10573838,2013.0,None,None,Good,2.0,34  m² square meters,Installed,None,1.0,None,1.0,None,Yes,None,None,Yes,None,None,241  kWh/m²  kilowatt hour per square meters,E,Electric,"€ 149,000  149000 €",None,None,None,None,None,None,None,None
10579822,1996.0,None,None,Good,4.0,138  m² square meters,Installed,3.0,1.0,None,None,None,No,None,None,None,None,None,371  kWh/m²  kilowatt hour per square meters,D,Gas,"€ 345,000  345000 €",None,None,795  m²  square meters,None,None,Yes,None,None
10579820,None,None,None,Good,3.0,194  m² square meters,None,3.0,1.0,None,None,Yes,No,None,None,No,No,No,310  kWh/m²  kilowatt hour per square meters,D,Gas,"€ 270,000  270000 €",None,€ 416  416 €,400  m²  square meters,None,None,None,None,None
10384233,None,Charleroi,None,Good,2.0,168  m² square meters,Installed,7.0,2.0,2.0,2.0,Yes,Yes,None,None,No,No,No,617  kWh/m²  kilowatt hour per square meters,G,None,"Make an offer starting from  € 479,900  Make an offer starting from  479900 €",None,"€ 1,412  1412 €",56  m²  square meters,None,None,None,None,None
10449403,1954.0,None,Town-house,Good,3.0,294  m² square meters,None,3.0,2.0,None,None,Yes,No,None,None,No,No,No,294  kWh/m²  kilowatt hour per square meters,C,Gas,"€ 349,000  349000 €",None,€ 773  773 €,144  m²  square meters,None,None,None,None,None
10017885,None,None,None,To be done up,4.0,151  m² square meters,Installed,3.0,1.0,None,2.0,Yes,No,None,None,None,None,None,552  kWh/m²  kilowatt hour per square meters,F,None,"€ 320,000  320000 €",None,None,1343  m²  square meters,None,None,Yes,None,None
10579804,1850.0,None,None,To be done up,2.0,115  m² square meters,None,2.0,1.0,None,None,None,No,None,None,No,No,No,367  kWh/m²  kilowatt hour per square meters,D,Gas,"€ 189,000  189000 €",None,€ 287  287 €,190  m²  square meters,None,None,None,None,None
10579786,None,None,None,To renovate,2.0,250  m² square meters,Not installed,3.0,3.0,3.0,3.0,None,No,10  m²  square meters,10  m²  square meters,No,No,No,270  kWh/m²  kilowatt hour per square meters,D,Gas,"€ 159,000  159000 €",None,€ 594  594 €,60  m²  square meters,None,None,None,10  m²  square meters,10  m²  square meters
10579785,1962.0,None,None,To renovate,2.0,261  m² square meters,Installed,3.0,1.0,1.0,2.0,Yes,None,8  m²  square meters,8  m²  square meters,No,No,No,261  kWh/m²  kilowatt hour per square meters,E,Fuel oil,"€ 725,000  725000 €",None,"€ 3,036  3036 €",184  m²  square meters,None,None,None,8  m²  square meters,8  m²  square meters
10579777,2007.0,None,None,As new,3.0,110  m² square meters,Installed,2.0,2.0,1.0,2.0,None,No,None,None,Yes,Yes,No,162  kWh/m²  kilowatt hour per square meters,B,Gas,"€ 535,000  535000 €",None,"€ 2,163  2163 €",None,None,88  m²  square meters,Yes,None,None
10484332,2009.0,None,None,Good,3.0,235  m² square meters,Installed,6.0,2.0,None,1.0,None,No,None,None,None,None,None,187  kWh/m²  kilowatt hour per square meters,C,Gas,"€ 350,000  350000 €",None,€ 745  745 €,991  m²  square meters,None,None,None,None,None
