Property ID,Neighbourhood or locality,Type of building,Construction year,Price (€),Bedrooms,Living area (m²),Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface (m²),Garden,Garden surface (m²),Surface of the plot (m²),Number of frontages,Swimming pool,Elevator,Basement,Building condition,Cadastral income (€),Primary energy consumption (kWh/m²),CO₂ emission (kg CO₂/m²),Energy class,Heating type,Kitchen type scale,Building condition scale
10575955,Bruxelles (19 communes),,,225000,2.0,74.0,Installed,0,0.0,0.0,0.0,0.0,0.0,,2.0,0,0,0,Good,,242.0,48.0,E,Gas,3,4
10575954,,,1952.0,595000,3.0,167.0,Installed,0,0.0,1.0,0.0,0.0,0.0,1447.0,4.0,0,0,0,To renovate,1026.0,684.0,,F,Fuel oil,3,3
10575945,,,,190000,2.0,74.0,Installed,0,0.0,1.0,71.0,0.0,0.0,,2.0,0,1,1,,,105.0,,B,Gas,3,0
10575944,,,1976.0,169500,1.0,65.0,Installed,0,0.0,1.0,8.0,0.0,0.0,,2.0,0,1,0,Good,810.0,280.0,,C,Gas,3,4
10575942,,,,220000,5.0,161.0,,0,0.0,0.0,0.0,0.0,0.0,,2.0,0,0,0,To be done up,681.0,415.0,,E,Fuel oil,0,1
10575941,,,1978.0,427000,3.0,173.0,Semi equipped,0,0.0,1.0,0.0,1.0,105.0,307.0,3.0,0,0,0,To be done up,,360.0,1000.0,D,Gas,2,1
10575940,,,,175000,4.0,126.0,Semi equipped,0,0.0,0.0,0.0,1.0,0.0,678.0,2.0,0,0,0,To be done up,,583.0,,G,Wood,2,1
10575939,,,,285000,2.0,137.0,Installed,0,0.0,0.0,0.0,0.0,0.0,667.0,,0,0,0,Good,644.0,453.0,10.0,F,Electric,3,4
10575938,,,1973.0,599000,3.0,282.0,Installed,0,0.0,0.0,0.0,1.0,0.0,755.0,4.0,0,0,0,As new,1613.0,158.0,,B,Gas,3,6
10575937,,,1976.0,549000,3.0,262.0,Installed,0,1.0,1.0,0.0,1.0,0.0,1796.0,4.0,0,0,1,Good,1384.0,245.0,,C,,3,4
10575931,,,2015.0,187500,1.0,70.0,USA hyper equipped,0,0.0,1.0,13.0,1.0,44.0,,,0,0,0,As new,440.0,178.0,,C,Gas,8,6
10575930,,,1983.0,680000,5.0,380.0,USA hyper equipped,0,0.0,1.0,0.0,0.0,0.0,2488.0,4.0,0,0,1,Good,1990.0,183.0,,B,Fuel oil,8,4
10575929,,,1983.0,685000,3.0,310.0,USA hyper equipped,0,0.0,1.0,0.0,0.0,0.0,1319.0,2.0,0,0,0,Good,2677.0,266.0,,C,Gas,8,4
10575928,,,1974.0,575000,4.0,350.0,Hyper equipped,0,0.0,1.0,12.0,1.0,110.0,250.0,2.0,0,0,0,As new,1845.0,95.0,,A,Gas,4,6
10575924,,,,195000,2.0,116.0,,0,0.0,0.0,0.0,0.0,0.0,,,0,1,1,To be done up,832.0,232.0,,C,Fuel oil,0,1
10575919,,,1996.0,529000,4.0,264.0,,0,0.0,1.0,0.0,0.0,0.0,1220.0,4.0,1,0,0,,1412.0,306.0,,D,Gas,0,0
10575917,Oud-Turnhout,,1977.0,299000,3.0,197.0,,0,0.0,1.0,0.0,0.0,0.0,342.0,3.0,0,0,0,,783.0,248.0,,C,,0,0
10575912,Essen,,2000.0,595000,6.0,310.0,USA hyper equipped,0,0.0,1.0,0.0,1.0,1010.0,1225.0,4.0,0,0,1,Good,1846.0,196.0,,B,,8,4
10575908,,,1970.0,1098000,4.0,354.0,Hyper equipped,0,0.0,1.0,0.0,0.0,0.0,4745.0,4.0,1,0,0,,2697.0,286.0,,C,Gas,4,0
10575892,,,,475000,3.0,160.0,,0,0.0,1.0,10.0,0.0,0.0,,2.0,0,1,0,Good,,171.0,,D,,0,4
10575887,Projets Bruxelles Sud,,2025.0,774500,3.0,225.0,USA hyper equipped,0,0.0,1.0,17.0,0.0,0.0,186.0,2.0,0,0,1,As new,,55.0,,B,,8,6
10384821,,All kind,1920.0,790000,9.0,350.0,,0,0.0,0.0,0.0,0.0,0.0,92.0,3.0,0,0,0,,1923.0,,,,Gas,0,0
10541162,,,1935.0,815000,6.0,315.0,Installed,0,0.0,0.0,0.0,1.0,100.0,208.0,2.0,0,0,1,To be done up,1983.0,556.0,112.0,G,,3,1
10409601,,,1894.0,825000,10.0,300.0,Hyper equipped,0,0.0,0.0,0.0,1.0,20.0,120.0,2.0,0,0,1,To renovate,1881.0,703.0,152.0,G,Gas,4,3
10453584,,,2001.0,895000,3.0,356.0,USA hyper equipped,0,0.0,1.0,41.0,0.0,0.0,177.0,2.0,0,0,0,Good,2377.0,138.0,,B,,8,4
10486086,,,1983.0,895000,7.0,497.0,USA hyper equipped,0,0.0,1.0,0.0,0.0,0.0,27166.0,4.0,0,0,0,Good,1650.0,335.0,,D,Fuel oil,8,4
10381669,,,,950000,7.0,500.0,Semi equipped,0,0.0,1.0,0.0,1.0,6.0,266.0,3.0,0,0,1,To renovate,2552.0,595.0,119.0,G,,2,3
10516258,,,,950000,6.0,550.0,Installed,0,0.0,0.0,0.0,0.0,0.0,2418.0,,0,0,1,Good,2317.0,382.0,,E,Fuel oil,3,4
10074438,,,2006.0,1145000,14.0,633.0,Semi equipped,0,0.0,0.0,0.0,1.0,0.0,610.0,2.0,0,0,0,Good,4956.0,,,,Gas,2,4
10509789,,Apartment building,1930.0,1200000,,320.0,,0,0.0,0.0,0.0,0.0,0.0,93.0,2.0,0,0,0,To be done up,,363.0,35.0,G,Gas,0,1
10321257,,,2003.0,1995000,5.0,405.0,Hyper equipped,0,0.0,1.0,127.0,1.0,1000.0,1454.0,4.0,0,0,1,As new,4990.0,119.0,11.0,B,,4,6
10502556,,,,2090000,12.0,1190.0,Semi equipped,0,0.0,1.0,143.0,0.0,0.0,712.0,2.0,0,0,1,To restore,7666.0,,,,Gas,2,2
10478174,,,1935.0,2100000,5.0,350.0,Hyper equipped,0,0.0,1.0,0.0,0.0,0.0,1442.0,4.0,0,0,1,Good,4638.0,311.0,64.0,F,,4,4
10211616,,,1967.0,2350000,4.0,285.0,USA hyper equipped,0,0.0,1.0,0.0,0.0,0.0,1002.0,4.0,0,0,0,Good,1274.0,325.0,,D,Gas,8,4
10516923,,,1950.0,3500000,6.0,465.0,Hyper equipped,0,1.0,0.0,0.0,1.0,0.0,2592.0,4.0,0,0,1,As new,9875.0,554.0,111.0,G,Gas,4,6
10576623,,All kind,1919.0,315000,2.0,115.0,Hyper equipped,0,0.0,1.0,20.0,0.0,0.0,,2.0,0,0,0,As new,,265.0,,C,Gas,4,6
10556032,,,1972.0,549000,4.0,154.0,Installed,0,1.0,1.0,0.0,1.0,0.0,640.0,4.0,0,0,1,To renovate,3636.0,397.0,73.0,E,Gas,3,3
10560697,,,2006.0,595000,2.0,,Hyper equipped,0,0.0,1.0,20.0,0.0,0.0,,2.0,0,1,1,To be done up,,259.0,51.0,E,Gas,4,1
10562479,,,1983.0,295000,2.0,117.0,Hyper equipped,0,0.0,1.0,0.0,0.0,0.0,408.0,3.0,0,0,0,Good,644.0,698.0,,F,Electric,4,4
10376628,,,2023.0,525000,3.0,155.0,Hyper equipped,0,0.0,0.0,0.0,0.0,0.0,483.0,4.0,0,0,0,,,,,A,Gas,4,0
10549996,,,2020.0,895000,3.0,222.0,Hyper equipped,0,0.0,1.0,0.0,1.0,0.0,2613.0,4.0,0,0,1,,,,,,,4,0
10508541,,,2020.0,272500,2.0,85.0,Hyper equipped,0,0.0,1.0,7.0,0.0,0.0,,2.0,0,0,0,As new,,46.0,,A,,4,6
10565940,Liège Center,,1964.0,285000,2.0,78.0,Installed,0,0.0,1.0,20.0,0.0,0.0,,2.0,0,1,1,Good,850.0,476.0,117.0,F,Fuel oil,3,4
9986095,,,,295000,2.0,,Hyper equipped,0,0.0,1.0,10.0,0.0,0.0,,,0,1,1,As new,,130.0,,C,Gas,4,6
10545875,Oost-Vlaanderen,,,365250,2.0,118.0,USA hyper equipped,0,0.0,1.0,9.0,0.0,0.0,,2.0,0,0,0,As new,,,,,Gas,8,6
10412619,,,,425000,3.0,158.0,Hyper equipped,0,0.0,1.0,20.0,0.0,0.0,,2.0,0,1,1,As new,,,,,Gas,4,6
10529326,,,2021.0,956000,3.0,181.0,USA hyper equipped,0,0.0,1.0,35.0,0.0,0.0,,,0,1,1,As new,,118.0,,B,,8,6
10529327,,,2021.0,1106500,3.0,196.0,USA hyper equipped,0,0.0,1.0,56.0,0.0,0.0,,4.0,0,1,1,As new,,123.0,,B,,8,6
10454953,,,2020.0,1360000,3.0,179.0,USA hyper equipped,0,0.0,1.0,37.0,0.0,0.0,,,0,1,1,As new,,75.0,75.0,B,,8,6
10320014,,,2023.0,1750000,3.0,235.0,Hyper equipped,0,0.0,1.0,78.0,0.0,0.0,,,0,1,1,As new,,55.0,55.0,B,,4,6
10575885,Regio Centrum Antwerpen,,1971.0,349500,2.0,113.0,USA hyper equipped,0,0.0,1.0,100.0,0.0,0.0,,,0,1,0,As new,932.0,378.0,,D,Fuel oil,8,6
10575876,,,1934.0,330000,5.0,253.0,Installed,0,0.0,1.0,50.0,1.0,285.0,480.0,3.0,0,0,1,As new,872.0,376.0,93.0,E,Fuel oil,3,6
10575872,Namur,,,185000,2.0,179.0,Installed,0,0.0,1.0,0.0,0.0,0.0,121.0,4.0,0,0,1,Good,513.0,607.0,,G,Gas,3,4
10575870,Namur,,,185000,3.0,172.0,Installed,0,0.0,1.0,0.0,0.0,0.0,81.0,4.0,0,0,1,Good,483.0,278.0,,D,Gas,3,4
10575869,Namur,,,295000,5.0,207.0,Installed,0,0.0,1.0,0.0,0.0,0.0,132.0,3.0,0,0,1,Good,483.0,447.0,,F,Fuel oil,3,4
10575862,,,,590000,3.0,270.0,Hyper equipped,0,0.0,1.0,0.0,1.0,70.0,140.0,2.0,0,0,0,As new,1351.0,365.0,,D,Gas,4,6
10575858,,,,315000,2.0,95.0,Hyper equipped,0,0.0,1.0,4.0,0.0,0.0,,2.0,0,1,0,As new,1054.0,85.0,,A,Gas,4,6
10575853,,,1900.0,130000,2.0,100.0,Semi equipped,0,0.0,1.0,15.0,1.0,400.0,700.0,2.0,0,0,1,To renovate,,,,G,Gas,2,3
10575842,,,1934.0,789000,4.0,220.0,USA hyper equipped,0,0.0,1.0,15.0,1.0,75.0,184.0,2.0,0,0,0,Good,,258.0,51.0,E,,8,4
10575839,,,,850000,3.0,280.0,,0,0.0,1.0,0.0,0.0,0.0,17714.0,4.0,0,0,1,Good,,90.0,,A,,0,4
10575838,,,1989.0,850000,4.0,230.0,USA hyper equipped,0,0.0,1.0,0.0,1.0,4500.0,5092.0,4.0,1,0,0,As new,,296.0,,C,,8,6
10575836,,,,519000,4.0,209.0,,0,0.0,1.0,0.0,0.0,0.0,330.0,2.0,0,0,0,Good,618.0,221.0,,C,Gas,0,4
10575835,Grand Liège,,,359000,3.0,121.0,Installed,0,0.0,1.0,220.0,1.0,70.0,792.0,3.0,0,0,0,Good,,480.0,120.0,F,Fuel oil,3,4
10575834,,,,449000,4.0,288.0,USA semi equipped,0,0.0,1.0,0.0,0.0,0.0,434.0,3.0,0,0,0,To be done up,989.0,420.0,,E,Gas,6,1
10575833,,,,200000,3.0,212.0,,0,0.0,1.0,35.0,0.0,0.0,247.0,3.0,0,0,0,Good,,229.0,,C,,0,4
10575832,1 - Bruxelles Est,,2022.0,511500,2.0,102.0,USA hyper equipped,0,0.0,1.0,25.0,0.0,0.0,,,0,1,0,As new,,40.0,10.0,A,Gas,8,6
10575831,,,2014.0,360000,1.0,77.0,Hyper equipped,0,0.0,0.0,0.0,0.0,0.0,,2.0,0,1,1,As new,1034.0,184.0,38.0,D,Gas,4,6
10575827,Liège,,,475000,4.0,220.0,Installed,0,0.0,1.0,0.0,0.0,0.0,1308.0,4.0,0,0,1,As new,,400.0,73.0,E,Gas,3,6
10575826,,,1952.0,429000,5.0,182.0,,0,0.0,0.0,0.0,1.0,125.0,260.0,2.0,0,0,1,Just renovated,1308.0,295.0,,C,Gas,0,5
10575825,,,1960.0,399000,4.0,140.0,Installed,0,0.0,0.0,0.0,1.0,90.0,,2.0,0,0,0,Just renovated,1046.0,182.0,,B,Gas,3,5
10575824,,,1965.0,460000,6.0,180.0,Installed,0,1.0,0.0,0.0,1.0,200.0,368.0,3.0,0,0,1,To renovate,1412.0,654.0,,F,,3,3
10575822,,,,184000,2.0,98.0,Semi equipped,0,0.0,0.0,0.0,1.0,115.0,,2.0,0,0,1,To be done up,,512.0,,F,Gas,2,1
10575821,,,,364900,3.0,135.0,Installed,0,0.0,0.0,0.0,1.0,90.0,230.0,2.0,0,0,1,Good,,346.0,,D,Gas,3,4
10575820,,,1926.0,299900,4.0,140.0,Installed,0,0.0,1.0,0.0,0.0,0.0,,2.0,0,0,1,Good,687.0,324.0,,D,Gas,3,4
10575818,,,,224900,3.0,105.0,Installed,0,0.0,1.0,13.0,0.0,0.0,,2.0,0,1,1,Good,,128.0,,B,Gas,3,4
10575817,,,,349000,4.0,160.0,Semi equipped,0,0.0,0.0,0.0,1.0,45.0,,2.0,0,0,1,Good,,379.0,,D,Gas,2,4
10575815,,,,384000,3.0,120.0,Installed,0,0.0,1.0,20.0,1.0,120.0,200.0,2.0,0,0,1,Good,,181.0,,B,Gas,3,4
10575813,,,,269000,3.0,101.0,Semi equipped,0,0.0,0.0,0.0,1.0,35.0,,2.0,0,0,1,Good,,463.0,,E,Gas,2,4
10078211,,,2020.0,1990000,3.0,241.0,USA hyper equipped,1,0.0,1.0,169.0,0.0,0.0,,3.0,0,1,1,As new,,114.0,26.0,C,,8,6
10567478,Regio Leuven,,2007.0,875000,3.0,272.0,,0,0.0,1.0,0.0,0.0,0.0,941.0,4.0,0,0,1,As new,2629.0,148.0,,B,Gas,0,6
10568757,Fort Jaco / Prince d'Orange,,1961.0,1195000,3.0,267.0,Hyper equipped,0,1.0,1.0,15.0,0.0,0.0,777.0,4.0,0,0,1,As new,3475.0,267.0,53.0,E,Gas,4,6
10568763,,,1968.0,1590000,4.0,300.0,Hyper equipped,0,0.0,1.0,92.0,0.0,0.0,1150.0,4.0,0,0,1,As new,5433.0,343.0,90.0,F,Fuel oil,4,6
10568559,,,1986.0,6400000,27.0,1350.0,USA hyper equipped,1,0.0,1.0,495.0,1.0,40.0,560.0,4.0,0,1,1,As new,,342.0,54.0,F,Electric,8,6
10373305,Wallonne,,1971.0,199900,2.0,166.0,Semi equipped,0,0.0,1.0,31.0,0.0,0.0,392.0,3.0,0,0,0,To be done up,1184.0,595.0,147.0,G,,2,1
