,Building condition,Living area,Kitchen type,Bedrooms,Bathrooms,Price,Type of Property,Subtype of Property,Type of Sale,Neighbourhood or locality,Number of frontages,Furnished,Surface of the plot,Garden surface,Swimming pool,Terrace
12804,None,66,USA hyper equipped,1,1,"€ 223,000  223000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
12805,As new,86,Hyper equipped,2,2,"€ 850,000  850000 €",apartment,ground floor,for sale,None,3,None,None,20,0.0,1.0
12806,Good,23,USA hyper equipped,1,1,"€ 165,000  165000 €",apartment,kot,for sale,None,None,0.0,None,300,None,None
12807,To renovate,115,Semi equipped,2,1,"Make an offer starting from  € 205,000  Make an offer starting from  205000 €",house,house,for sale,None,4,None,1347,None,None,None
12808,As new,125,Hyper equipped,3,2,"€ 465,000  465000 €",house,house,for sale,None,2,0.0,130,56,0.0,None
12809,As new,240,Installed,3,1,"€ 1,100,000  1100000 €",house,mixed use building,for sale,None,4,None,2284,None,1.0,1.0
12810,Good,449,Hyper equipped,6,5,"€ 1,650,000  1650000 €",house,mansion,for sale,None,2,0.0,450,300,None,1.0
12812,None,236,Installed,3,2,"€ 462,000  462000 €",house,house,for sale,None,4,None,560,None,None,1.0
12813,Good,242,Installed,7,1,"Make an offer starting from  € 545,000  Make an offer starting from  545000 €",house,house,for sale,None,4,None,680,400,None,None
12817,To be done up,214,None,2,1,"€ 220,000  220000 €",house,house,for sale,None,3,0.0,553,None,0.0,1.0
12818,Just renovated,78,Installed,2,1,"€ 274,000  274000 €",apartment,apartment,for sale,Nieuw Borgerhout,2,None,None,34,None,None
12819,Good,126,USA installed,4,1,"Make an offer starting from  € 420,000  Make an offer starting from  420000 €",house,house,for sale,None,4,None,180,112,None,None
12822,None,215,None,3,2,"€ 385,000  385000 €",house,house,for sale,None,2,0.0,234,132,0.0,None
12823,Good,263,Installed,5,2,"€ 399,000  399000 €",house,villa,for sale,None,4,None,950,600,0.0,None
12824,To renovate,167,Installed,3,1,"€ 595,000  595000 €",house,house,for sale,None,4,0.0,1447,None,None,1.0
12825,As new,350,Installed,4,2,"€ 1,295,000  1295000 €",house,villa,for sale,None,4,0.0,4008,None,0.0,1.0
12826,As new,135,USA installed,3,1,"€ 369,000  369000 €",house,house,for sale,None,None,0.0,336,None,0.0,1.0
12827,As new,113,USA hyper equipped,3,3,"€ 1,850,000  1850000 €",apartment,apartment,for sale,Knokke-Albertstrand,3,0.0,None,None,None,1.0
12830,Good,438,Semi equipped,8,2,"€ 449,000  449000 €",house,mixed use building,for sale,None,2,None,675,None,None,None
12832,As new,83,USA hyper equipped,2,2,"€ 397,000  397000 €",apartment,triplex,for sale,None,2,0.0,None,None,0.0,None
12833,To be done up,250,Semi equipped,3,3,"€ 359,000  359000 €",house,house,for sale,None,4,None,3531,None,None,1.0
12834,As new,84,USA installed,2,1,"€ 299,000  299000 €",apartment,apartment,for sale,Sint-Niklaas,2,0.0,None,None,0.0,None
12836,To be done up,146,None,3,1,"€ 119,000  119000 €",house,house,for sale,None,2,None,179,80,None,None
12839,To be done up,127,None,3,1,"€ 175,000  175000 €",house,house,for sale,None,2,0.0,98,None,None,None
12840,Good,190,Hyper equipped,5,None,"€ 375,000  375000 €",house,house,for sale,None,3,0.0,472,None,None,None
12843,Just renovated,147,Installed,4,1,"Make an offer starting from  € 299,000  Make an offer starting from  299000 €",house,house,for sale,None,4,0.0,1000,900,0.0,None
12846,Just renovated,60,Installed,2,1,"€ 895,000  895000 €",apartment,apartment,for sale,None,None,None,None,None,0.0,1.0
12847,To be done up,104,Installed,3,None,"€ 154,000  154000 €",house,house,for sale,None,None,0.0,100,45,None,None
12848,Good,150,Semi equipped,4,1,"Make an offer starting from  € 245,000  Make an offer starting from  245000 €",house,house,for sale,Chartreuse,2,None,195,45,None,None
12849,As new,91,USA hyper equipped,2,2,"€ 695,000  695000 €",apartment,apartment,for sale,1 ZOUTE,2,None,None,None,0.0,1.0
12850,Good,188,Installed,4,2,"€ 879,000  879000 €",house,mixed use building,for sale,None,4,None,940,None,1.0,1.0
12851,To restore,200,Installed,4,2,"€ 375,000  375000 €",apartment,duplex,for sale,Bruxelles (19 communes),2,0.0,None,None,0.0,None
12852,Good,530,Installed,1,None,"€ 2,200,000  2200000 €",house,house,for sale,None,None,0.0,427,None,None,1.0
12853,Just renovated,80,Hyper equipped,2,1,"€ 310,000  310000 €",apartment,apartment,for sale,None,2,None,None,None,0.0,None
12854,As new,120,USA hyper equipped,2,1,"€ 475,000  475000 €",house,house,for sale,None,4,0.0,1751,1700,None,1.0
12855,To renovate,205,Installed,4,1,"€ 549,000  549000 €",house,house,for sale,Bruxelles (19 communes),2,None,210,75,None,None
12857,As new,311,USA hyper equipped,5,None,"€ 805,000  805000 €",house,exceptional property,for sale,None,4,None,1440,1200,0.0,None
12859,Just renovated,117,USA installed,3,1,"€ 520,000  520000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
12860,As new,59,USA hyper equipped,1,1,"€ 305,000  305000 €",apartment,apartment,for sale,1 - Bruxelles Est,None,0.0,None,None,0.0,None
12861,Good,122,Installed,3,1,"€ 448,000  448000 €",house,house,for sale,None,None,0.0,147,None,0.0,1.0
12862,To renovate,208,Semi equipped,2,1,"€ 99,000  99000 €",house,house,for sale,None,2,0.0,135,None,0.0,None
12864,Good,134,Installed,3,1,"€ 170,000  170000 €",house,house,for sale,None,4,None,595,None,None,1.0
12867,Good,114,Semi equipped,2,1,"€ 295,000  295000 €",house,house,for sale,None,2,None,150,None,None,None
12869,As new,620,Hyper equipped,5,5,"€ 3,800,000  3800000 €",house,house,for sale,None,4,0.0,2500,None,1.0,None
12870,As new,218,Hyper equipped,3,1,"€ 335,000  335000 €",house,town house,for sale,None,2,None,27,None,0.0,None
12871,Good,42,Installed,None,1,"€ 179,000  179000 €",apartment,flat studio,for sale,None,2,0.0,None,None,0.0,None
12873,Just renovated,275,Installed,6,1,"€ 645,000  645000 €",apartment,loft,for sale,None,3,1.0,None,None,None,None
12874,Good,125,Installed,4,1,"€ 419,000  419000 €",house,house,for sale,None,2,None,90,25,None,None
12876,None,130,None,3,1,"€ 199,000  199000 €",house,house,for sale,None,2,None,160,85,None,1.0
12878,None,66,USA hyper equipped,1,1,"€ 272,000  272000 €",apartment,apartment,for sale,Bruxelles-Nord,2,0.0,None,None,0.0,None
12879,As new,394,Installed,4,1,"€ 725,000  725000 €",house,house,for sale,None,4,None,3578,None,1.0,1.0
12880,To be done up,600,Semi equipped,11,10,"€ 400,000  400000 €",house,house,for sale,None,4,None,1162,None,None,1.0
12885,To renovate,195,Not installed,4,2,"€ 129,900  129900 €",house,house,for sale,Liège,3,0.0,303,150,0.0,None
12889,Good,150,Installed,3,1,"€ 475,000  475000 €",apartment,apartment,for sale,Est de Bruxelles + VL,None,0.0,None,None,0.0,None
12890,As new,320,Hyper equipped,4,1,"€ 395,000  395000 €",house,house,for sale,None,None,None,580,None,0.0,None
12891,Good,136,Installed,3,1,"€ 215,000  215000 €",house,house,for sale,None,2,0.0,112,None,None,None
12892,Good,144,Installed,2,1,"€ 384,000  384000 €",house,bungalow,for sale,None,4,0.0,1601,1601,None,None
12893,As new,71,Installed,2,None,"€ 630,000  630000 €",apartment,apartment,for sale,None,None,0.0,None,None,0.0,1.0
12894,Good,150,None,5,1,"€ 359,000  359000 €",house,house,for sale,Andere,2,None,270,None,None,None
12895,To renovate,135,Semi equipped,3,1,"€ 248,000  248000 €",house,house,for sale,None,2,None,110,None,None,None
12896,As new,155,Hyper equipped,4,2,"€ 319,000  319000 €",house,house,for sale,Liège,3,0.0,205,70,0.0,None
12899,As new,141,USA hyper equipped,3,1,"€ 429,000  429000 €",apartment,ground floor,for sale,None,3,0.0,None,10500,0.0,None
12900,Good,92,Installed,2,1,"€ 199,000  199000 €",apartment,apartment,for sale,Bruxelles Nord,None,0.0,None,None,0.0,None
