,Building condition,Living area,Kitchen type,Bedrooms,Bathrooms,Price,Type of Property,Subtype of Property,Type of Sale,Neighbourhood or locality,Number of frontages,Furnished,Surface of the plot,Garden surface,Swimming pool,Terrace
5681,As new,140,Installed,3,None,"€ 625,000  625000 €",house,villa,for sale,None,None,0.0,583,None,None,1.0
5682,To be done up,155,Semi equipped,2,None,"€ 167,000  167000 €",house,house,for sale,None,2,0.0,188,None,None,1.0
5683,Good,100,None,3,1,"Make an offer starting from  € 425,000  Make an offer starting from  425000 €",house,house,for sale,Brabant Wallon,3,None,135,84,None,None
5684,As new,176,USA hyper equipped,3,1,"€ 329,000  329000 €",house,villa,for sale,Oost-Vlaanderen,3,0.0,380,None,None,1.0
5685,To renovate,600,Semi equipped,5,None,"€ 1,085,000  1085000 €",house,manor house,for sale,None,4,None,2250,None,None,1.0
5686,To be done up,92,None,2,1,"Make an offer starting from  € 139,000  Make an offer starting from  139000 €",house,house,for sale,Hainaut,2,0.0,220,84,None,None
5687,Good,251,Semi equipped,3,1,"€ 209,000  209000 €",house,house,for sale,None,3,0.0,160,None,0.0,None
5688,To renovate,201,Semi equipped,3,1,"Make an offer starting from  € 299,000  Make an offer starting from  299000 €",house,farmhouse,for sale,None,3,0.0,609,None,None,1.0
5689,To renovate,232,None,4,2,"Make an offer starting from  € 249,000  Make an offer starting from  249000 €",house,apartment block,for sale,None,3,None,276,None,None,1.0
5690,As new,120,Hyper equipped,2,1,"€ 525,000  525000 €",apartment,apartment,for sale,None,3,0.0,None,None,0.0,None
5691,Good,193,None,3,1,"€ 175,000  175000 €",house,house,for sale,None,2,0.0,267,None,0.0,None
5692,As new,250,USA hyper equipped,3,2,"€ 850,000  850000 €",house,house,for sale,None,4,0.0,990,780,None,1.0
5693,Good,200,Installed,3,1,"€ 950,000  950000 €",house,villa,for sale,None,4,None,490,None,None,None
5694,As new,76,Hyper equipped,2,1,"€ 439,000  439000 €",apartment,apartment,for sale,None,4,None,None,None,0.0,None
5700,To renovate,132,Semi equipped,3,1,"€ 99,000  99000 €",house,house,for sale,None,4,None,260,260,None,1.0
5702,To be done up,194,Semi equipped,4,1,"€ 250,000  250000 €",house,house,for sale,AMEL - AMBLEVE,4,0.0,695,609,0.0,None
5704,As new,161,Hyper equipped,3,2,"€ 754,928  754928 €",apartment,penthouse,for sale,None,None,0.0,None,None,0.0,None
5705,As new,100,Installed,2,1,"€ 241,000  241000 €",apartment,apartment,for sale,None,4,0.0,None,None,0.0,None
5707,Good,360,Installed,5,3,"€ 1,095,000  1095000 €",house,mansion,for sale,None,2,None,271,166,None,None
5709,As new,137,USA hyper equipped,4,2,"€ 449,000  449000 €",house,house,for sale,Bruxelles (19 communes),2,None,68,None,None,None
5710,To renovate,127,Installed,3,1,"€ 135,000  135000 €",house,house,for sale,None,4,0.0,539,437,0.0,None
5712,To renovate,170,Not installed,3,1,"€ 248,000  248000 €",house,house,for sale,None,None,0.0,63,None,None,None
5713,None,141,Hyper equipped,3,2,"€ 535,000  535000 €",apartment,apartment,for sale,None,3,0.0,None,None,0.0,None
5715,As new,242,Hyper equipped,3,3,"€ 1,695,000  1695000 €",apartment,apartment,for sale,None,3,0.0,None,None,0.0,None
5717,Good,160,Hyper equipped,4,1,"€ 490,000  490000 €",house,house,for sale,Panier-Vert,3,None,331,25,None,None
5718,Good,135,Semi equipped,4,1,"Make an offer starting from  € 215,000  Make an offer starting from  215000 €",house,house,for sale,Liège,3,0.0,358,238,0.0,None
5719,As new,153,Installed,3,1,"€ 1,390,000  1390000 €",apartment,apartment,for sale,None,3,0.0,None,None,0.0,None
5722,To renovate,189,Not installed,3,1,"€ 320,000  320000 €",house,house,for sale,None,3,None,880,None,None,None
5723,As new,175,Installed,5,1,"€ 790,000  790000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
5724,To be done up,170,Installed,4,2,"€ 425,000  425000 €",house,house,for sale,None,4,0.0,660,570,None,None
5725,As new,270,USA hyper equipped,4,2,"€ 530,000  530000 €",house,house,for sale,None,2,None,170,None,0.0,None
5726,Good,213,Installed,5,None,"€ 229,500  229500 €",house,house,for sale,None,2,0.0,380,180,None,None
5728,As new,89,USA hyper equipped,2,1,"€ 415,000  415000 €",apartment,apartment,for sale,None,4,0.0,None,None,0.0,None
5729,To be done up,162,Installed,3,1,"€ 359,000  359000 €",house,town house,for sale,None,2,0.0,16,None,None,1.0
5730,Good,315,Installed,7,1,"€ 370,000  370000 €",house,mansion,for sale,GRAND VERVIERS,2,0.0,310,80,0.0,None
5731,To be done up,149,Semi equipped,3,1,"€ 279,000  279000 €",apartment,apartment,for sale,None,2,None,None,None,None,1.0
5732,Good,97,Installed,2,1,"€ 209,000  209000 €",apartment,apartment,for sale,None,2,0.0,None,None,None,1.0
5733,Good,270,Hyper equipped,6,1,"€ 350,000  350000 €",house,house,for sale,None,3,None,560,410,None,None
5736,To renovate,145,Semi equipped,4,1,"€ 145,000  145000 €",house,house,for sale,None,2,None,240,None,None,None
5738,Just renovated,118,None,3,2,"Make an offer starting from  € 279,000  Make an offer starting from  279000 €",house,house,for sale,Grand Liège,3,0.0,225,145,0.0,None
5741,Good,140,Hyper equipped,3,1,"€ 645,000  645000 €",house,town house,for sale,None,2,0.0,251,110,None,None
5743,Good,525,None,7,4,"€ 975,000  975000 €",house,apartment block,for sale,urbain,2,None,200,None,None,None
5744,To renovate,112,None,1,1,"€ 179,000  179000 €",house,house,for sale,None,4,0.0,695,610,None,1.0
5747,Good,66,USA hyper equipped,1,1,"€ 219,000  219000 €",apartment,apartment,for sale,None,None,None,None,None,0.0,1.0
5748,To renovate,129,Installed,3,1,"€ 395,000  395000 €",house,villa,for sale,None,4,None,437,None,None,None
5749,As new,149,Hyper equipped,3,1,"€ 229,000  229000 €",house,house,for sale,None,3,0.0,269,143,None,None
5750,Good,180,Installed,3,1,"€ 330,000  330000 €",house,house,for sale,None,3,0.0,254,None,0.0,1.0
5755,Good,75,Installed,2,1,"€ 225,000  225000 €",apartment,apartment,for sale,None,1,None,None,None,0.0,None
5757,Just renovated,100,Installed,3,1,"€ 315,000  315000 €",house,house,for sale,None,2,None,410,None,None,1.0
5758,As new,25,USA hyper equipped,1,1,"€ 110,000  110000 €",apartment,service flat,for sale,Druivenstreek,2,0.0,None,None,0.0,None
5760,As new,650,USA hyper equipped,6,5,"€ 4,250,000  4250000 €",house,villa,for sale,None,4,None,2000,None,0.0,1.0
5761,Just renovated,180,USA hyper equipped,4,1,"€ 359,000  359000 €",house,house,for sale,None,3,None,303,None,None,1.0
5762,As new,88,USA hyper equipped,2,1,"€ 239,000  239000 €",apartment,apartment,for sale,None,3,0.0,None,None,None,1.0
5763,To be done up,350,Semi equipped,6,3,"€ 619,000  619000 €",house,apartment block,for sale,None,3,0.0,125,None,None,None
5765,Good,54,USA installed,1,1,"€ 99,000  99000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
5766,As new,233,Hyper equipped,4,1,"€ 595,000  595000 €",house,house,for sale,None,3,None,368,None,0.0,None
5767,As new,141,None,3,1,"€ 298,500  298500 €",apartment,apartment,for sale,None,None,0.0,None,None,0.0,1.0
5769,Good,115,Not installed,3,1,"€ 139,500  139500 €",house,house,for sale,Liège,2,0.0,210,60,0.0,None
5771,To be done up,175,None,3,1,"€ 249,000  249000 €",house,mansion,for sale,None,2,None,150,1,0.0,None
5772,As new,220,USA hyper equipped,4,1,"€ 500,000  500000 €",house,villa,for sale,None,4,0.0,6104,5900,None,None
5773,As new,197,Hyper equipped,5,2,"€ 665,000  665000 €",house,mansion,for sale,None,3,None,1630,None,None,1.0
5774,Good,125,Installed,4,1,"€ 245,000  245000 €",house,house,for sale,None,2,0.0,167,30,0.0,None
5776,To be done up,54,Semi equipped,1,1,"€ 169,000  169000 €",apartment,apartment,for sale,None,2,0.0,None,None,None,None
5777,Good,156,None,3,2,"€ 599,000  599000 €",apartment,apartment,for sale,None,4,0.0,None,None,0.0,None
5778,To renovate,22,Not installed,None,1,"€ 113,000  113000 €",apartment,flat studio,for sale,Bruxelles (19 communes),None,0.0,None,None,0.0,None
5780,To be done up,200,Installed,5,2,"€ 275,000  275000 €",house,house,for sale,Grand Liège,3,0.0,642,400,0.0,None
5782,Just renovated,271,Hyper equipped,3,2,"€ 799,000  799000 €",house,villa,for sale,Kempen,4,0.0,1500,500,1.0,1.0
5784,Good,151,Installed,4,1,"€ 359,000  359000 €",house,house,for sale,None,2,None,97,None,None,None
5785,As new,185,Hyper equipped,4,2,"€ 258,000  258000 €",house,house,for sale,None,2,None,157,35,None,None
5786,Good,105,None,3,1,"Make an offer starting from  € 169,000  Make an offer starting from  169000 €",house,house,for sale,None,3,0.0,154,None,None,None
5787,As new,290,Hyper equipped,3,1,"€ 629,000  629000 €",house,villa,for sale,None,4,0.0,1296,None,0.0,1.0
5790,None,252,Hyper equipped,3,3,"€ 848,000  848000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
5791,As new,120,Hyper equipped,2,1,"€ 285,000  285000 €",apartment,ground floor,for sale,None,2,0.0,None,None,None,None
5792,As new,192,Installed,4,1,"€ 472,000  472000 €",house,villa,for sale,None,4,1.0,704,584,0.0,None
5793,Good,160,Installed,5,1,"€ 315,000  315000 €",house,house,for sale,None,2,None,150,35,None,None
5794,To be done up,50,Installed,1,1,"€ 219,000  219000 €",apartment,apartment,for sale,None,None,0.0,None,None,0.0,1.0
5795,Good,179,Installed,2,1,"€ 365,000  365000 €",house,town house,for sale,None,None,None,205,50,None,None
5796,As new,93,USA hyper equipped,2,2,"€ 455,000  455000 €",apartment,apartment,for sale,None,2,None,None,71,0.0,None
5798,To renovate,540,Hyper equipped,6,3,"€ 2,450,000  2450000 €",house,mansion,for sale,None,2,None,230,120,None,None
5799,None,201,Installed,3,3,"€ 1,690,000  1690000 €",apartment,apartment,for sale,Prince d'Orange,3,None,None,1080,None,None
5801,As new,320,Installed,5,1,"€ 645,000  645000 €",house,villa,for sale,None,None,0.0,1228,None,None,None
5802,Just renovated,98,USA hyper equipped,2,2,"€ 285,000  285000 €",apartment,apartment,for sale,None,2,0.0,None,None,None,None
5803,As new,115,USA hyper equipped,3,1,"€ 368,000  368000 €",apartment,apartment,for sale,None,4,0.0,None,23,0.0,None
5804,None,130,Installed,3,1,"€ 375,000  375000 €",house,house,for sale,None,None,None,1150,None,1.0,1.0
5805,Good,334,Installed,4,1,"€ 570,000  570000 €",house,house,for sale,None,4,None,3600,None,None,1.0
5806,As new,220,Installed,4,1,"€ 695,000  695000 €",house,house,for sale,Calme,3,None,815,700,None,1.0
5807,Good,263,Installed,5,3,"€ 499,000  499000 €",house,house,for sale,None,3,0.0,523,None,0.0,1.0
5809,To be done up,426,None,7,3,"€ 1,100,000  1100000 €",house,apartment block,for sale,None,2,0.0,270,None,0.0,None
5810,As new,75,Installed,2,1,"€ 379,000  379000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
5812,Good,200,Installed,4,2,"€ 480,000  480000 €",house,house,for sale,Zone Province de Liège,4,0.0,2183,1450,0.0,None
5813,Good,68,Not installed,2,1,"Make an offer starting from  € 69,000  Make an offer starting from  69000 €",apartment,apartment,for sale,Liège environs,2,0.0,None,None,None,None
5814,As new,180,Hyper equipped,4,2,"€ 685,000  685000 €",house,house,for sale,None,2,0.0,140,50,0.0,1.0
5816,Good,135,Semi equipped,4,1,"Make an offer starting from  € 180,000  Make an offer starting from  180000 €",house,house,for sale,Liège,2,0.0,112,None,0.0,None
5817,Just renovated,220,USA hyper equipped,4,1,"€ 478,000  478000 €",house,house,for sale,Opwijk,3,None,303,None,None,1.0
5818,Good,87,None,2,None,"€ 240,000  240000 €",house,house,for sale,None,2,0.0,62,None,0.0,None
5820,Just renovated,110,None,2,1,"Make an offer starting from  € 174,900  Make an offer starting from  174900 €",apartment,duplex,for sale,Charleroi,2,0.0,None,None,None,None
5821,To renovate,160,Semi equipped,2,1,"€ 99,000  99000 €",house,house,for sale,None,2,None,130,None,None,1.0
5822,As new,None,USA hyper equipped,2,2,"€ 510,000  510000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
5824,As new,580,Hyper equipped,7,5,"€ 2,950,000  2950000 €",house,villa,for sale,Bruxelles Est,4,None,2137,None,1.0,1.0
5825,As new,277,Hyper equipped,4,1,"€ 495,000  495000 €",house,house,for sale,Aalst,2,None,108,None,None,None
5826,To be done up,100,Installed,1,1,"€ 230,000  230000 €",apartment,apartment,for sale,None,2,0.0,None,None,None,None
5827,As new,119,Installed,3,1,"€ 455,000  455000 €",apartment,apartment,for sale,None,None,0.0,None,None,0.0,1.0
5829,To renovate,90,Installed,2,1,"€ 170,000  170000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,1.0
5830,Good,158,None,4,1,"Make an offer starting from  € 160,000  Make an offer starting from  160000 €",house,house,for sale,None,3,None,245,134,None,None
5832,As new,154,Hyper equipped,3,None,"€ 388,000  388000 €",house,house,for sale,None,None,0.0,441,340,None,None
5833,To be done up,116,Semi equipped,3,1,"Make an offer starting from  € 95,000  Make an offer starting from  95000 €",house,house,for sale,None,2,None,90,None,0.0,None
5834,As new,210,Hyper equipped,3,1,"€ 595,000  595000 €",house,exceptional property,for sale,None,2,0.0,89,None,0.0,1.0
5835,As new,460,USA hyper equipped,5,2,"€ 770,000  770000 €",house,exceptional property,for sale,Namurois,4,0.0,1200,1049,0.0,None
5836,None,162,Installed,3,1,"€ 355,000  355000 €",house,house,for sale,None,None,None,331,251,None,None
5837,As new,130,USA hyper equipped,3,1,"€ 397,500  397500 €",apartment,apartment,for sale,None,None,0.0,None,None,0.0,1.0
5838,As new,120,Hyper equipped,3,2,"€ 1,885,000  1885000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,1.0
5839,Good,213,Semi equipped,4,2,"€ 599,000  599000 €",house,house,for sale,None,3,None,429,None,None,None
5840,To renovate,112,Not installed,3,1,"€ 99,000  99000 €",house,house,for sale,Zone Sud Province du Luxembourg,3,None,231,160,0.0,None
5841,As new,110,Installed,3,1,"€ 195,000  195000 €",house,house,for sale,Grand Liège,2,0.0,40,None,0.0,None
5842,As new,100,Hyper equipped,3,2,"€ 340,000  340000 €",apartment,apartment,for sale,Bruxelles (19 communes),2,0.0,None,None,0.0,None
5845,Just renovated,178,None,3,2,"€ 319,000  319000 €",house,house,for sale,None,None,0.0,185,None,None,1.0
5846,Good,300,Installed,6,3,"€ 330,000  330000 €",house,house,for sale,None,4,None,744,None,None,None
5848,As new,176,USA hyper equipped,3,1,"€ 329,000  329000 €",house,villa,for sale,Oost-Vlaanderen,3,0.0,406,None,0.0,1.0
5849,As new,386,Hyper equipped,4,None,"€ 1,495,000  1495000 €",house,house,for sale,None,None,0.0,34645,None,None,1.0
5851,As new,60,Installed,2,1,"€ 155,000  155000 €",apartment,apartment,for sale,Liège,2,0.0,None,340,0.0,None
5852,Good,175,None,1,1,"€ 450,000  450000 €",house,mixed use building,for sale,Zone Province de Liège,2,0.0,50,None,None,None
5855,Good,300,Installed,5,3,"€ 1,100,000  1100000 €",house,house,for sale,Stockel,2,None,268,150,None,None
5856,As new,122,USA hyper equipped,2,2,"€ 951,000  951000 €",apartment,service flat,for sale,Het Zoute,None,None,None,None,0.0,None
5857,As new,230,None,5,2,"€ 290,000  290000 €",house,house,for sale,None,3,0.0,590,None,0.0,1.0
5859,Good,133,USA semi equipped,3,1,"€ 429,000  429000 €",house,bungalow,for sale,None,4,None,600,522,0.0,1.0
5861,To be done up,375,Installed,7,2,"€ 450,000  450000 €",house,house,for sale,None,4,0.0,1890,1515,None,None
5862,As new,90,Hyper equipped,2,1,"€ 320,000  320000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
5863,Good,90,Not installed,2,1,"€ 204,000  204000 €",apartment,apartment,for sale,None,2,None,None,None,0.0,None
5864,As new,40,USA hyper equipped,1,1,"€ 178,500  178500 €",apartment,flat studio,for sale,None,None,0.0,None,None,0.0,None
5865,Good,116,Installed,2,1,"€ 325,000  325000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
5869,Good,157,Installed,3,1,"€ 428,000  428000 €",house,house,for sale,None,4,None,714,None,None,None
5870,Good,209,Hyper equipped,3,2,"€ 725,000  725000 €",house,house,for sale,None,3,None,730,None,0.0,1.0
5872,To be done up,92,Semi equipped,2,1,"€ 220,000  220000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
5873,Good,104,Installed,2,1,"€ 335,000  335000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
5874,As new,350,Installed,6,4,"€ 895,000  895000 €",house,house,for sale,None,4,None,626,None,1.0,None
5875,Good,507,Semi equipped,4,2,"€ 670,000  670000 €",house,apartment block,for sale,None,2,None,425,None,None,None
5876,None,132,USA hyper equipped,3,1,"€ 344,700  344700 €",house,house,for sale,None,2,None,200,200,None,1.0
5879,As new,109,Not installed,3,2,"€ 340,000  340000 €",apartment,apartment,for sale,Namur,None,0.0,None,76,None,None
5881,As new,181,Hyper equipped,3,1,"€ 699,000  699000 €",apartment,loft,for sale,None,3,0.0,None,None,0.0,1.0
5883,To be done up,250,Semi equipped,4,2,"€ 445,000  445000 €",house,house,for sale,None,2,None,320,None,None,None
5884,To be done up,260,USA installed,4,3,"€ 430,000  430000 €",house,house,for sale,None,3,0.0,717,475,None,None
5888,As new,50,Installed,1,None,"€ 222,000  222000 €",apartment,apartment,for sale,None,1,0.0,None,None,0.0,None
5889,As new,152,Hyper equipped,3,2,"€ 571,423  571423 €",apartment,penthouse,for sale,None,None,0.0,None,None,0.0,None
5892,As new,129,USA hyper equipped,3,1,"€ 374,900  374900 €",apartment,duplex,for sale,None,2,0.0,None,None,0.0,None
5895,None,90,Hyper equipped,2,1,"€ 420,000  420000 €",house,house,for sale,None,2,None,62,None,0.0,None
5897,To be done up,447,Installed,5,1,"€ 880,000  880000 €",house,house,for sale,None,4,None,900,None,None,1.0
5900,Good,None,Semi equipped,5,4,"€ 499,000  499000 €",house,apartment block,for sale,None,2,1.0,None,50,None,1.0
5902,Good,280,Installed,6,3,"€ 695,000  695000 €",house,house,for sale,None,2,0.0,135,40,None,None
5903,Good,272,None,4,None,"€ 449,000  449000 €",house,house,for sale,None,4,0.0,4462,4462,None,None
5904,Good,375,USA hyper equipped,5,4,"€ 1,250,000  1250000 €",house,house,for sale,None,4,0.0,4700,4700,1.0,1.0
5905,Good,451,Installed,4,2,"€ 795,000  795000 €",house,villa,for sale,None,4,None,2641,None,None,None
5906,As new,180,Hyper equipped,4,4,"€ 2,800,000  2800000 €",apartment,apartment,for sale,1 ZOUTE,3,0.0,None,312,0.0,1.0
5907,Good,515,Hyper equipped,6,4,"€ 1,795,000  1795000 €",house,house,for sale,None,3,0.0,513,513,0.0,None
5908,Good,130,Installed,4,2,"€ 460,000  460000 €",house,house,for sale,None,3,None,270,170,None,None
5909,To renovate,350,Installed,2,1,"€ 405,000  405000 €",apartment,penthouse,for sale,None,2,0.0,None,None,None,None
5910,Just renovated,79,None,2,1,"€ 2,295,000  2295000 €",apartment,apartment,for sale,Het Zoute,2,0.0,None,None,0.0,1.0
5912,Good,305,USA hyper equipped,5,2,"€ 850,000  850000 €",house,house,for sale,Bruxelles Est,2,None,500,None,None,1.0
5913,As new,201,None,3,3,"€ 799,000  799000 €",house,house,for sale,None,4,0.0,1710,None,1.0,1.0
5915,Good,475,Hyper equipped,4,2,"€ 740,000  740000 €",house,villa,for sale,None,4,None,1200,None,None,1.0
5917,Good,152,Semi equipped,3,1,"€ 300,000  300000 €",house,house,for sale,None,3,None,1191,800,None,None
5918,As new,90,USA hyper equipped,2,1,"€ 430,000  430000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
5919,As new,129,USA hyper equipped,2,1,"€ 695,000  695000 €",apartment,apartment,for sale,None,None,None,None,270,None,1.0
5920,As new,160,Installed,3,3,"€ 680,000  680000 €",apartment,apartment,for sale,Observatoire,4,0.0,None,None,None,None
5922,Good,157,USA installed,3,2,"€ 325,000  325000 €",apartment,triplex,for sale,bruxelles,2,0.0,None,None,0.0,None
5923,As new,274,Hyper equipped,3,None,"€ 599,000  599000 €",house,house,for sale,None,2,0.0,331,57,None,None
5924,Good,105,Installed,3,None,"€ 199,000  199000 €",house,house,for sale,None,None,0.0,130,50,None,1.0
5925,As new,203,Hyper equipped,4,3,"€ 1,065,000  1065000 €",house,house,for sale,None,2,0.0,197,None,None,None
5927,As new,259,Hyper equipped,3,None,"€ 549,000  549000 €",house,house,for sale,None,4,0.0,860,250,None,None
5929,As new,90,USA installed,3,1,"€ 270,000  270000 €",apartment,apartment,for sale,None,3,0.0,None,None,0.0,None
5930,As new,86,USA hyper equipped,2,1,"€ 239,000  239000 €",apartment,apartment,for sale,Namurois,None,0.0,None,None,0.0,None
5931,Good,303,Installed,7,1,"Make an offer starting from  € 375,000  Make an offer starting from  375000 €",house,house,for sale,SPA - THEUX - JALHAY,4,0.0,1237,976,0.0,None
5932,Good,120,Hyper equipped,4,None,"€ 349,000  349000 €",house,house,for sale,None,None,0.0,128,None,None,1.0
5934,Good,164,Installed,3,1,"€ 430,000  430000 €",house,house,for sale,None,3,0.0,505,None,None,None
5935,As new,850,Installed,9,3,"€ 1,650,000  1650000 €",house,house,for sale,None,4,1.0,3285,None,None,1.0
5936,Just renovated,220,Hyper equipped,4,2,"Make an offer starting from  € 695,000  Make an offer starting from  695000 €",house,villa,for sale,La Hulpe et environs,3,0.0,815,None,0.0,None
5937,Good,262,Installed,3,1,"€ 315,000  315000 €",house,house,for sale,None,4,0.0,585,377,None,None
5938,Good,228,None,3,None,"€ 469,000  469000 €",house,house,for sale,None,None,0.0,833,None,0.0,1.0
5939,To be done up,134,Semi equipped,5,1,"Make an offer starting from  € 239,000  Make an offer starting from  239000 €",house,house,for sale,None,3,0.0,928,928,0.0,None
5940,Good,235,USA semi equipped,4,2,"€ 325,000  325000 €",house,apartment block,for sale,None,2,0.0,122,None,0.0,None
5941,As new,186,USA hyper equipped,4,2,"€ 799,000  799000 €",house,house,for sale,None,2,0.0,143,65,None,None
5942,Good,128,Hyper equipped,3,1,"€ 465,000  465000 €",house,house,for sale,Brabant-Wallon,3,1.0,415,235,None,1.0
5943,To be done up,73,USA semi equipped,2,1,"€ 150,000  150000 €",apartment,apartment,for sale,Brabant Wallon,3,0.0,None,None,None,None
5944,Good,85,Installed,2,1,"€ 240,000  240000 €",apartment,apartment,for sale,None,2,1.0,None,None,0.0,None
5947,As new,105,USA hyper equipped,3,2,"€ 435,000  435000 €",apartment,apartment,for sale,None,3,0.0,None,None,0.0,None
5948,Good,160,Installed,4,1,"Make an offer starting from  € 149,000  Make an offer starting from  149000 €",apartment,duplex,for sale,GRAND VERVIERS,2,0.0,None,249,None,None
5949,As new,610,Hyper equipped,6,4,"€ 1,990,000  1990000 €",house,exceptional property,for sale,None,2,0.0,215,None,0.0,None
5951,As new,76,Installed,3,1,"€ 269,000  269000 €",house,bungalow,for sale,None,None,None,76,None,0.0,None
5952,Good,147,Semi equipped,2,1,"€ 110,000  110000 €",house,house,for sale,None,2,None,109,20,None,None
5953,To be done up,150,Semi equipped,4,None,"€ 279,000  279000 €",house,house,for sale,None,4,None,512,None,None,1.0
5955,Good,None,Installed,3,1,"€ 235,000  235000 €",house,house,for sale,None,2,None,550,357,None,None
5957,Good,150,Installed,3,1,"€ 480,000  480000 €",house,house,for sale,Brabant Wallon,4,0.0,659,500,0.0,1.0
5958,To be done up,164,Installed,3,1,"€ 279,000  279000 €",house,house,for sale,None,3,None,250,None,None,1.0
5959,To be done up,200,None,3,1,"€ 425,000  425000 €",house,house,for sale,None,2,None,319,1,0.0,None
5961,Good,170,None,4,2,"€ 250,000  250000 €",house,house,for sale,None,2,0.0,170,None,None,1.0
5962,Good,185,Installed,3,None,"€ 195,000  195000 €",house,house,for sale,None,3,None,530,None,None,1.0
5965,To be done up,193,Not installed,4,2,"Make an offer starting from  € 179,000  Make an offer starting from  179000 €",house,apartment block,for sale,None,3,0.0,100,None,0.0,None
5967,Good,105,USA hyper equipped,2,1,"€ 285,000  285000 €",apartment,apartment,for sale,Nord /Ouest Bruxelles,2,0.0,None,60,0.0,None
5968,As new,89,Installed,2,2,"€ 399,000  399000 €",apartment,apartment,for sale,None,None,0.0,None,None,0.0,1.0
5970,As new,130,Installed,3,1,"€ 449,000  449000 €",apartment,apartment,for sale,Oude stad,2,None,None,None,None,None
5971,As new,134,Installed,3,2,"€ 285,000  285000 €",apartment,apartment,for sale,None,None,None,None,None,0.0,1.0
5972,None,215,Installed,3,1,"€ 660,000  660000 €",house,house,for sale,None,None,None,1652,None,None,1.0
5973,To be done up,180,USA installed,1,2,"€ 399,000  399000 €",house,house,for sale,None,2,0.0,227,85,0.0,None
5974,Good,120,Installed,3,2,"Make an offer starting from  € 350,000  Make an offer starting from  350000 €",house,villa,for sale,None,4,0.0,1000,None,0.0,None
5976,As new,144,None,3,1,"€ 140,000  140000 €",house,house,for sale,Hainaut,3,0.0,343,None,None,1.0
5977,Good,670,Hyper equipped,6,2,"€ 695,000  695000 €",house,villa,for sale,None,4,None,1661,None,None,None
5980,Good,456,None,3,2,"€ 925,000  925000 €",house,mixed use building,for sale,None,2,0.0,1205,None,1.0,1.0
5982,As new,201,USA installed,3,3,"€ 1,690,000  1690000 €",apartment,ground floor,for sale,None,4,0.0,None,376,0.0,None
5983,As new,241,USA hyper equipped,3,2,"€ 1,186,000  1186000 €",apartment,apartment,for sale,None,3,0.0,None,10000,None,None
5984,As new,200,Hyper equipped,3,3,"€ 690,000  690000 €",apartment,duplex,for sale,None,2,0.0,None,None,0.0,None
5985,To be done up,410,Installed,6,3,"€ 1,500,000  1500000 €",house,exceptional property,for sale,None,4,0.0,3140,2000,1.0,None
5986,To be done up,64,Not installed,1,1,"€ 230,000  230000 €",apartment,apartment,for sale,None,None,0.0,None,None,0.0,None
5987,To be done up,130,Semi equipped,3,1,"Make an offer starting from  € 349,000  Make an offer starting from  349000 €",house,house,for sale,None,4,None,768,768,None,None
5988,Good,81,Semi equipped,2,1,"Make an offer starting from  € 150,000  Make an offer starting from  150000 €",house,house,for sale,Liège,2,0.0,245,97,0.0,None
5989,As new,160,USA hyper equipped,3,1,"€ 490,000  490000 €",house,villa,for sale,None,4,None,1482,None,0.0,1.0
5990,Good,84,None,2,1,"€ 219,000  219000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,1.0
5992,As new,300,Hyper equipped,6,2,"€ 655,000  655000 €",house,villa,for sale,Moorsel,4,None,1016,800,None,None
5994,None,261,Hyper equipped,3,3,"€ 1,720,000  1720000 €",apartment,ground floor,for sale,None,3,0.0,None,None,0.0,1.0
5995,As new,169,Installed,4,1,"€ 249,000  249000 €",house,house,for sale,None,2,0.0,190,85,0.0,None
5998,Good,150,Installed,3,1,"€ 260,000  260000 €",house,house,for sale,None,3,None,1079,850,None,None
6001,Just renovated,100,USA hyper equipped,4,2,"€ 1,250,000  1250000 €",apartment,duplex,for sale,None,2,0.0,None,None,0.0,1.0
6002,To be done up,160,Hyper equipped,4,1,"€ 650,000  650000 €",house,house,for sale,1 - Bruxelles Est,4,0.0,530,300,None,None
6004,As new,53,Hyper equipped,1,1,"€ 265,000  265000 €",apartment,apartment,for sale,None,2,0.0,None,None,None,None
6005,As new,200,Hyper equipped,3,1,"€ 549,000  549000 €",house,exceptional property,for sale,None,3,0.0,1735,1500,None,None
6007,Good,115,Installed,2,1,"€ 210,000  210000 €",house,house,for sale,None,2,None,70,None,None,None
6008,Good,396,USA installed,2,2,"Make an offer starting from  € 650,000  Make an offer starting from  650000 €",house,house,for sale,Oost-Vlaanderen,3,0.0,1412,None,0.0,1.0
