,Property ID,Neighbourhood or locality,Type of building,Construction year,Price,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface,Garden,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Elevator,Basement,Building condition,Monthly charges,Cadastral income,Primary energy consumption,CO₂ emission,Energy class,Heating type
11,10579918,None,None,1947," 223,000",2,110  m² square meters,None,None,None,Yes,None,None,None,None,2,None,None,None,Good,None, 702,256  kWh/m²  kilowatt hour per square meters,1000 kg CO₂/m²,C,Gas
12,10579917,None,None,2009," 275,000",3,139  m² square meters,Hyper equipped,None,None,None,9  m²  square meters,None,None,None,None,None,Yes,Yes,None, 250, 870,167  kWh/m²  kilowatt hour per square meters,31 kg CO₂/m²,B,None
13,10579915,None,None,1965," 370,000",3,112  m² square meters,Installed,No,None,None,None,None,None,None,None,No,Yes,None,As new,None, 872,113  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
14,10579907,None,None,2001," 732,000",4,468  m² square meters,None,No,None,None,None,None,None,1200  m²  square meters,4,Yes,No,None,As new,None," 2,025",253  kWh/m²  kilowatt hour per square meters,63 kg CO₂/m²,C,Fuel oil
15,10579906,None,None,2003," 795,000",8,455  m² square meters,None,No,None,Yes,None,None,None,9198  m²  square meters,4,Yes,No,None,None,None," 1,897",145  kWh/m²  kilowatt hour per square meters,35 kg CO₂/m²,B,Fuel oil
16,10579901,Liège,None,None," 550,000",4,189  m² square meters,Hyper equipped,None,None,Yes,None,None,2185  m²  square meters,2345  m²  square meters,4,None,None,None,Good,None," 1,554",302  kWh/m²  kilowatt hour per square meters,75 kg CO₂/m²,D,Fuel oil
17,10579899,None,None,1957," 309,000",3,186  m² square meters,None,No,None,Yes,None,None,None,2406  m²  square meters,3,None,None,Yes,To renovate,None, 927,409  kWh/m²  kilowatt hour per square meters,Not specified,E,Fuel oil
18,10579887,None,None,None," 185,000",2,124  m² square meters,Installed,No,None,None,30  m²  square meters,None,280  m²  square meters,380  m²  square meters,3,No,No,Yes,Good,None, 505,436  kWh/m²  kilowatt hour per square meters,Not specified,F,Gas
19,10579878,None,None,None," 148,000",2,95  m² square meters,Semi equipped,None,None,None,None,None,None,None,2,None,Yes,Yes,Good,None,None,250  kWh/m²  kilowatt hour per square meters,63 kg CO₂/m²,C,Gas
20,10579877,None,None,None," 115,000",1,54  m² square meters,Not installed,None,None,None,None,None,None,None,2,None,Yes,Yes,To be done up,None,None,325  kWh/m²  kilowatt hour per square meters,59 kg CO₂/m²,D,None
21,10579869,None,None,1900," 200,000",1,67  m² square meters,Installed,No,None,None,None,None,35  m²  square meters,None,2,None,None,None,To renovate,None, 532,Not specified,Not specified,Not specified,Gas
22,10579861,Ans,None,2022," 299,000",3,134  m² square meters,Not installed,None,None,None,6  m²  square meters,None,None,None,2,None,None,None,None,None,None,Not specified,Not specified,Not specified,None
23,10579860,Ans,None,2022," 169,000",1,65  m² square meters,Not installed,None,None,None,18  m²  square meters,None,None,None,2,None,None,None,None,None,None,Not specified,Not specified,Not specified,None
24,10579859,Ans,None,2022," 239,000",2,97  m² square meters,Not installed,None,None,None,5  m²  square meters,None,None,None,2,None,None,None,None,None,None,Not specified,Not specified,Not specified,None
25,10579857,Ans,None,2022," 249,000",2,106  m² square meters,Not installed,None,None,None,6  m²  square meters,None,None,None,2,None,None,None,None,None,None,Not specified,Not specified,Not specified,None
26,10579840,None,None,1971," 299,000",3,246  m² square meters,None,No,None,Yes,None,None,None,1379  m²  square meters,4,No,No,Yes,To be done up,None," 1,279",928  kWh/m²  kilowatt hour per square meters,Not specified,F,Gas
27,10373646,None,None,None,,3,170  m² square meters,Semi equipped,None,None,None,15  m²  square meters,None,700  m²  square meters,1200  m²  square meters,3,None,None,None,To be done up,None, 704,649  kWh/m²  kilowatt hour per square meters,Not specified,G,Fuel oil
28,10579838,bruxelles,None,1924," 295,000",2,86  m² square meters,Installed,No,None,None,7  m²  square meters,None,None,None,2,No,No,Yes,Good,None,None,215  kWh/m²  kilowatt hour per square meters,43 kg CO₂/m²,E,Gas
29,10579836,Genappe,None,1920," 235,000",4,142  m² square meters,Installed,No,None,None,None,None,272  m²  square meters,342  m²  square meters,2,No,No,Yes,To be done up,None, 460,276  kWh/m²  kilowatt hour per square meters,51 kg CO₂/m²,D,Gas
30,10579834,None,None,None," 398,000",2,None,Hyper equipped,None,None,Yes,None,None,None,387  m²  square meters,2,None,None,Yes,As new,None,None,162  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
31,10579833,None,None,1998," 298,000",3,126  m² square meters,None,No,None,None,None,None,None,970  m²  square meters,4,None,None,None,Good,None, 922,495  kWh/m²  kilowatt hour per square meters,Not specified,E,Electric
32,10579832,None,Bungalow,1967," 369,000",3,187  m² square meters,None,No,None,None,None,None,None,1000  m²  square meters,4,No,No,None,To renovate,None, 991,386  kWh/m²  kilowatt hour per square meters,Not specified,D,Fuel oil
33,10579831,None,None,1945," 199,000",3,115  m² square meters,None,No,None,None,None,None,None,1990  m²  square meters,4,None,None,None,To be done up,None,None,508  kWh/m²  kilowatt hour per square meters,Not specified,F,Gas
34,10579830,None,None,1984," 419,000",3,279  m² square meters,Semi equipped,None,None,Yes,None,None,None,1677  m²  square meters,4,None,None,Yes,Good,None," 1,320",421  kWh/m²  kilowatt hour per square meters,Not specified,E,Gas
35,10579824,None,None,2002," 275,000",2,115  m² square meters,Hyper equipped,No,None,Yes,None,None,None,None,2,No,No,None,Good,None,None,120  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
36,10579823,None,None,1989," 179,000",1,66  m² square meters,None,No,None,Yes,None,None,None,None,3,No,Yes,None,Good,None, 743,208  kWh/m²  kilowatt hour per square meters,Not specified,C,Fuel oil
37,10569863,Zuiden van Antwerpen,None,1877," 850,000",7,370  m² square meters,Installed,None,None,None,50  m²  square meters,None,1060  m²  square meters,1269  m²  square meters,4,None,No,Yes,To renovate,None," 1,221",584  kWh/m²  kilowatt hour per square meters,Not specified,F,Fuel oil
38,10578381,Omgeving Kraainem,None,1962," 775,000",3,200  m² square meters,Hyper equipped,No,None,Yes,None,None,None,669  m²  square meters,4,No,No,Yes,Good,None," 2,692",418  kWh/m²  kilowatt hour per square meters,Not specified,E,Gas
39,10579649,None,None,2008," 675,000",5,200  m² square meters,USA hyper equipped,None,None,Yes,None,None,150  m²  square meters,234  m²  square meters,3,None,None,None,As new,None," 1,365",133  kWh/m²  kilowatt hour per square meters,577 kg CO₂/m²,B,None
40,10569004,None,None,2005," 192,000",None,41  m² square meters,Installed,Yes,None,Yes,None,None,None,None,4,None,Yes,Yes,Good,None, 604,234  kWh/m²  kilowatt hour per square meters,Not specified,C,Electric
41,10567685,None,None,1976," 195,000",1,51  m² square meters,Semi equipped,No,None,None,2  m²  square meters,None,None,None,2,Yes,Yes,Yes,Good, 120, 867,79  kWh/m²  kilowatt hour per square meters,20 kg CO₂/m²,B,Gas
42,10568686,None,None,1996," 265,000",2,106  m² square meters,Installed,No,None,None,None,None,None,None,4,No,Yes,None,Good,None," 1,461",118  kWh/m²  kilowatt hour per square meters,Not specified,C,Gas
43,10568915,None,None,1946," 325,000",4,235  m² square meters,USA semi equipped,No,None,None,None,None,None,122  m²  square meters,2,No,No,Yes,Good,None," 1,319",217  kWh/m²  kilowatt hour per square meters,54 kg CO₂/m²,C,Fuel oil
44,10567484,Zone Sud Province du Luxembourg,None,1960," 329,000",5,140  m² square meters,Semi equipped,No,None,None,800  m²  square meters,None,200  m²  square meters,1011  m²  square meters,4,No,No,None,To renovate,None," 1,011",315  kWh/m²  kilowatt hour per square meters,78 kg CO₂/m²,D,Fuel oil
45,10567500,None,None,2007," 530,000",2,156  m² square meters,USA hyper equipped,None,None,None,40  m²  square meters,None,None,None,2,No,Yes,Yes,As new,None," 2,135",207  kWh/m²  kilowatt hour per square meters,41 kg CO₂/m²,D,Gas
46,10567505,Bruxelles 9 Communes,None,2007," 530,000",2,156  m² square meters,USA hyper equipped,None,None,None,40  m²  square meters,None,None,None,2,No,Yes,Yes,As new,None," 2,135",207  kWh/m²  kilowatt hour per square meters,41 kg CO₂/m²,D,Gas
47,10577975,None,None,1978," 459,000",2,95  m² square meters,Installed,None,None,None,21  m²  square meters,Yes,None,None,None,No,Yes,None,As new,None,None,131  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
48,10579367,Bruxelles-Sud,None,1968," 260,000",1,55  m² square meters,Semi equipped,No,None,None,25  m²  square meters,None,None,None,2,No,Yes,Yes,Good, 150, 852,720  kWh/m²  kilowatt hour per square meters,145 kg CO₂/m²,G,None
49,10568405,Gent en omstreken,None,2022," 370,000",2,82  m² square meters,Hyper equipped,No,None,None,28  m²  square meters,None,None,None,2,No,Yes,Yes,As new,None, 1,1  kWh/m²  kilowatt hour per square meters,Not specified,A,None
50,10568403,Gent en omstreken,None,2022," 395,000",2,85  m² square meters,Hyper equipped,No,None,None,28  m²  square meters,None,None,None,2,No,Yes,Yes,As new,None, 1,1  kWh/m²  kilowatt hour per square meters,Not specified,A,None
51,10566825,None,None,2003," 349,000",2,118  m² square meters,USA installed,No,None,None,9  m²  square meters,None,None,None,3,No,Yes,None,Good,None, 958,150  kWh/m²  kilowatt hour per square meters,4065 kg CO₂/m²,B,Gas
52,10576363,BRABANT FLAMAND,None,1830," 295,000",3,120  m² square meters,Installed,No,None,None,None,None,280  m²  square meters,403  m²  square meters,3,No,No,None,To renovate,None, 275,1266  kWh/m²  kilowatt hour per square meters,Not specified,F,Electric
53,10576481,None,None,1990," 419,000",3,185  m² square meters,Installed,None,None,Yes,None,None,None,558  m²  square meters,4,None,None,None,Good,None," 1,021",468  kWh/m²  kilowatt hour per square meters,Not specified,E,Electric
54,10575505,None,None,1850," 749,000",4,296  m² square meters,Installed,No,2,None,None,None,350  m²  square meters,23417  m²  square meters,4,No,No,None,To renovate,None, 797,773  kWh/m²  kilowatt hour per square meters,Not specified,F,Fuel oil
55,10575843,Les Woluwes,None,1965," 535,000",4,140  m² square meters,USA installed,No,None,None,23  m²  square meters,None,None,None,2,No,Yes,Yes,As new,None,None,693  kWh/m²  kilowatt hour per square meters,149 kg CO₂/m²,G,Gas
56,10578165,Bruxelles (19 communes),None,1900," 190,000",None,51  m² square meters,Installed,No,None,None,None,None,None,None,2,No,No,None,As new,None, 461,292  kWh/m²  kilowatt hour per square meters,58 kg CO₂/m²,F,None
57,10547322,Gent en omstreken,None,2021," 421,000",3,146  m² square meters,Hyper equipped,No,None,None,11  m²  square meters,None,None,None,4,No,Yes,None,As new,None, 1,1  kWh/m²  kilowatt hour per square meters,Not specified,A,Gas
58,10547320,Gent en omstreken,None,2021," 426,000",3,148  m² square meters,Hyper equipped,No,None,None,11  m²  square meters,None,None,None,4,No,Yes,None,As new,None, 1,1  kWh/m²  kilowatt hour per square meters,Not specified,A,Gas
59,10566398,None,None,1909," 439,000",4,282  m² square meters,Installed,None,None,None,40  m²  square meters,Yes,None,497  m²  square meters,2,None,None,Yes,To be done up,None, 733,240  kWh/m²  kilowatt hour per square meters,Not specified,C,Gas
60,10566078,Oost-Vlaanderen,None,1950," 615,000",5,450  m² square meters,Installed,No,None,Yes,None,None,1100  m²  square meters,1260  m²  square meters,4,No,No,Yes,Good,None," 2,315",453  kWh/m²  kilowatt hour per square meters,Not specified,E,Fuel oil
61,10522729,None,Villa,1995," 645,000",5,339  m² square meters,Installed,None,None,None,13  m²  square meters,None,580  m²  square meters,794  m²  square meters,4,No,No,None,As new,None," 2,221",142  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
62,10574546,Waterloo,None,1956," 595,000",4,151  m² square meters,Installed,No,None,Yes,None,None,460  m²  square meters,544  m²  square meters,4,Yes,No,None,Good,None," 2,638",255  kWh/m²  kilowatt hour per square meters,47 kg CO₂/m²,C,Gas
63,10574203,Bruxelles,None,1925," 1,995,000",5,700  m² square meters,USA hyper equipped,No,None,None,175  m²  square meters,None,300  m²  square meters,2500  m²  square meters,4,No,No,Yes,As new,None,None,249  kWh/m²  kilowatt hour per square meters,67 kg CO₂/m²,E,Fuel oil
64,10573838,None,None,2013," 149,000",None,34  m² square meters,Installed,Yes,None,None,None,None,None,None,2,None,Yes,None,Good,None,None,241  kWh/m²  kilowatt hour per square meters,38 kg CO₂/m²,E,Electric
65,10579822,None,None,1996," 345,000",3,138  m² square meters,Installed,No,None,Yes,None,None,None,795  m²  square meters,4,None,None,None,Good,None,None,371  kWh/m²  kilowatt hour per square meters,Not specified,D,Gas
66,10579820,None,None,None," 270,000",3,194  m² square meters,None,No,None,None,None,None,None,400  m²  square meters,3,No,No,Yes,Good,None, 416,310  kWh/m²  kilowatt hour per square meters,Not specified,D,Gas
67,10384233,Charleroi,None,None," 479,900",7,168  m² square meters,Installed,Yes,None,None,None,None,None,56  m²  square meters,2,No,No,Yes,Good,None," 1,412",617  kWh/m²  kilowatt hour per square meters,115 kg CO₂/m²,G,None
68,10449403,None,Town-house,1954," 349,000",3,294  m² square meters,None,No,None,None,None,None,None,144  m²  square meters,3,No,No,Yes,Good,None, 773,294  kWh/m²  kilowatt hour per square meters,Not specified,C,Gas
69,10017885,None,None,None," 320,000",3,151  m² square meters,Installed,No,None,Yes,None,None,None,1343  m²  square meters,4,None,None,Yes,To be done up,None,None,552  kWh/m²  kilowatt hour per square meters,Not specified,F,None
70,10579804,None,None,1850," 189,000",2,115  m² square meters,None,No,None,None,None,None,None,190  m²  square meters,2,No,No,None,To be done up,None, 287,367  kWh/m²  kilowatt hour per square meters,Not specified,D,Gas
71,10579786,None,None,None," 159,000",3,250  m² square meters,Not installed,No,None,None,10  m²  square meters,None,None,60  m²  square meters,2,No,No,None,To renovate,None, 594,270  kWh/m²  kilowatt hour per square meters,1872 kg CO₂/m²,D,Gas
72,10579785,None,None,1962," 725,000",3,261  m² square meters,Installed,None,None,None,8  m²  square meters,None,None,184  m²  square meters,2,No,No,Yes,To renovate,None," 3,036",261  kWh/m²  kilowatt hour per square meters,64 kg CO₂/m²,E,Fuel oil
73,10579777,None,None,2007," 535,000",2,110  m² square meters,Installed,No,None,Yes,None,None,88  m²  square meters,None,3,No,Yes,None,As new,None," 2,163",162  kWh/m²  kilowatt hour per square meters,31 kg CO₂/m²,B,Gas
74,10484332,None,None,2009," 350,000",6,235  m² square meters,Installed,No,None,None,None,None,None,991  m²  square meters,3,None,None,None,Good,None, 745,187  kWh/m²  kilowatt hour per square meters,35 kg CO₂/m²,C,Gas
75,10579769,None,None,None," 215,000",1,54  m² square meters,Hyper equipped,No,None,None,10  m²  square meters,None,None,None,None,None,None,None,As new,None,None,77.34  kWh/m²  kilowatt hour per square meters,Not specified,A,Gas
76,10579768,None,None,None," 178,000",1,52  m² square meters,Installed,No,None,Yes,None,None,None,None,None,No,Yes,None,Good,None, 711,551  kWh/m²  kilowatt hour per square meters,Not specified,F,Gas
77,10579766,None,None,2013," 3,350,000",4,400  m² square meters,Hyper equipped,No,None,Yes,None,None,None,1400  m²  square meters,4,No,No,Yes,As new,None,None,69  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
78,10579764,None,None,1954," 820,000",3,192  m² square meters,Installed,No,None,Yes,None,None,None,3190  m²  square meters,4,No,No,None,None,None," 3,842",346  kWh/m²  kilowatt hour per square meters,86 kg CO₂/m²,E,None
79,10516606,None,None,None," 57,500",1,72  m² square meters,Not installed,No,None,None,None,None,None,64  m²  square meters,2,None,None,None,To be done up,None,None,691  kWh/m²  kilowatt hour per square meters,Not specified,G,None
80,10579762,None,None,None," 125,000",1,60  m² square meters,Installed,None,None,None,None,None,None,None,2,None,None,Yes,None,None,None,324  kWh/m²  kilowatt hour per square meters,60 kg CO₂/m²,D,Fuel oil
81,10579761,None,None,None," 259,000",3,None,Installed,None,None,None,None,None,None,207  m²  square meters,4,None,None,None,None,None, 547,Not specified,Not specified,Not specified,None
82,10579756,None,None,None," 280,000",6,200  m² square meters,None,None,None,Yes,None,None,None,326  m²  square meters,4,None,None,None,None,None,None,Not specified,Not specified,Not specified,None
83,10579755,None,None,1930," 225,000",5,121  m² square meters,None,No,None,None,None,None,None,296  m²  square meters,2,None,None,None,To be done up,None,None,563  kWh/m²  kilowatt hour per square meters,Not specified,G,None
84,10579754,None,None,None," 368,000",2,109  m² square meters,None,No,None,None,None,None,None,None,3,No,No,None,Good,None,None,267  kWh/m²  kilowatt hour per square meters,Not specified,C,Gas
85,10579750,None,None,None," 185,000",6,207  m² square meters,Semi equipped,No,None,None,None,None,None,None,None,None,None,None,Good,None,None,332  kWh/m²  kilowatt hour per square meters,Not specified,D,Gas
86,10579749,None,None,None," 619,000",5,372  m² square meters,Installed,No,None,Yes,None,Yes,None,249  m²  square meters,None,Yes,No,Yes,Good,None," 1,437",350  kWh/m²  kilowatt hour per square meters,Not specified,D,Gas
87,10579748,None,None,None," 240,000",1,72  m² square meters,Hyper equipped,No,None,None,None,None,None,None,2,None,None,Yes,Good,None,None,501  kWh/m²  kilowatt hour per square meters,100 kg CO₂/m²,G,None
88,10579742,None,None,2013," 589,000",4,200  m² square meters,USA hyper equipped,No,None,Yes,None,None,100  m²  square meters,None,4,No,No,Yes,As new,None," 2,717",387  kWh/m²  kilowatt hour per square meters,110 kg CO₂/m²,E,Electric
89,10515442,None,None,None," 59,500",1,115  m² square meters,Not installed,No,None,None,None,None,None,50  m²  square meters,2,None,None,Yes,To be done up,None,None,652  kWh/m²  kilowatt hour per square meters,Not specified,G,None
90,10539323,None,None,None," 117,000",2,150  m² square meters,Not installed,No,None,None,None,None,None,120  m²  square meters,2,None,None,Yes,To be done up,None,None,691  kWh/m²  kilowatt hour per square meters,Not specified,G,None
91,10438305,None,None,1978," 560,000",2,120  m² square meters,Hyper equipped,No,None,None,8  m²  square meters,None,None,None,None,No,Yes,Yes,As new,None,None,225  kWh/m²  kilowatt hour per square meters,Not specified,E,Gas
92,10579734,None,None,None," 315,000",2,128  m² square meters,Installed,No,None,None,43  m²  square meters,None,None,None,3,None,None,None,Just renovated,None, 908,242  kWh/m²  kilowatt hour per square meters,Not specified,C,Electric
93,10509623,None,None,None," 123,000",1,56  m² square meters,Installed,No,None,None,12  m²  square meters,None,50  m²  square meters,None,2,None,Yes,None,None,None, 592,235  kWh/m²  kilowatt hour per square meters,Not specified,C,Gas
94,10579728,None,None,1936," 350,000",3,147  m² square meters,Installed,No,None,None,33  m²  square meters,None,90  m²  square meters,220  m²  square meters,2,None,None,None,Good,None, 440,184  kWh/m²  kilowatt hour per square meters,1000 kg CO₂/m²,B,Gas
95,10572643,None,None,1993," 269,000",3,119  m² square meters,Installed,No,None,Yes,None,None,None,None,2,None,No,None,Good, 40,None,420  kWh/m²  kilowatt hour per square meters,Not specified,E,Electric
96,10572259,None,None,2011," 349,000",3,110  m² square meters,Installed,None,None,None,8  m²  square meters,None,None,None,None,No,No,None,As new,None,None,207  kWh/m²  kilowatt hour per square meters,Not specified,C,Gas
97,10560964,1 - Bruxelles Centre,None,2020," 450,000",3,148  m² square meters,USA hyper equipped,No,None,None,33  m²  square meters,None,None,None,3,No,Yes,Yes,As new,None,None,82  kWh/m²  kilowatt hour per square meters,23 kg CO₂/m²,B,Gas
98,10563238,Les Woluwes,None,1966," 245,000",None,46  m² square meters,Installed,No,None,None,6  m²  square meters,None,None,None,2,No,Yes,Yes,Just renovated,None," 1,036",131  kWh/m²  kilowatt hour per square meters,26 kg CO₂/m²,C,Gas
99,10562978,None,None,2003," 335,000",2,95  m² square meters,Semi equipped,None,None,None,32  m²  square meters,None,None,None,2,None,None,None,Good,None, 870,126  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
100,10193358,Nivelles,None,1875," 360,000",4,207  m² square meters,Installed,No,None,Yes,None,None,518  m²  square meters,608  m²  square meters,2,None,None,Yes,To be done up,None, 814,533  kWh/m²  kilowatt hour per square meters,98 kg CO₂/m²,G,Gas
101,10571758,None,None,1975," 690,000",7,405  m² square meters,Installed,Yes,None,None,None,None,4534  m²  square meters,4534  m²  square meters,4,None,None,Yes,To renovate,None," 2,691",467  kWh/m²  kilowatt hour per square meters,1000 kg CO₂/m²,E,Electric
102,10572432,None,None,1850," 330,000",3,184  m² square meters,USA installed,No,None,None,None,None,None,None,2,No,Yes,None,As new,None,None,158  kWh/m²  kilowatt hour per square meters,31 kg CO₂/m²,B,None
103,10572658,1 - Bruxelles Nord et Ouest,None,2021," 560,000",3,149  m² square meters,USA hyper equipped,No,None,None,36  m²  square meters,None,None,None,3,No,Yes,Yes,As new,None,None,44.65  kWh/m²  kilowatt hour per square meters,8 kg CO₂/m²,A,None
104,10572149,Brussel (19 gemeenten),None,1973," 190,000",None,44  m² square meters,Semi equipped,Yes,None,None,None,None,None,None,2,No,Yes,None,Good,None,None,285  kWh/m²  kilowatt hour per square meters,Not specified,F,Gas
105,10558643,Bruxelles-Nord,None,2025," 326,000",2,81  m² square meters,USA installed,No,None,None,6  m²  square meters,None,None,None,3,No,Yes,Yes,As new,None,None,45  kWh/m²  kilowatt hour per square meters,45 kg CO₂/m²,A,Gas
106,10374224,None,Apartment building,2016," 449,000",3,112  m² square meters,Installed,Yes,None,Yes,None,None,None,None,4,No,Yes,None,As new, 141,None,58  kWh/m²  kilowatt hour per square meters,Not specified,A,Gas
107,10558630,Bruxelles-Nord,None,2025," 484,000",3,126  m² square meters,Hyper equipped,None,None,None,13  m²  square meters,None,None,None,4,No,Yes,Yes,As new,None,None,44  kWh/m²  kilowatt hour per square meters,44 kg CO₂/m²,A,Gas
108,10579632,Knokke,None,1989," 4,995,000",7,499  m² square meters,USA hyper equipped,No,None,Yes,None,None,None,1174  m²  square meters,4,Yes,No,Yes,As new,None," 2,736",152  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
109,10561327,None,None,1939," 375,000",3,214  m² square meters,Not installed,No,None,None,None,None,None,None,2,No,Yes,Yes,To be done up,None," 1,765",380  kWh/m²  kilowatt hour per square meters,70 kg CO₂/m²,E,Gas
110,10561076,Huy et 5kms,None,2009," 440,000",3,195  m² square meters,Installed,No,None,None,30  m²  square meters,None,515  m²  square meters,870  m²  square meters,4,None,None,None,As new,None, 847,170  kWh/m²  kilowatt hour per square meters,43 kg CO₂/m²,B,Fuel oil
111,10574079,None,None,1910," 460,000",5,328  m² square meters,Installed,No,None,None,None,None,None,1440  m²  square meters,4,None,None,None,As new,None, 964,319  kWh/m²  kilowatt hour per square meters,Not specified,D,Gas
112,10567502,None,None,1968," 175,000",None,41  m² square meters,Installed,No,None,None,None,None,None,None,2,No,Yes,Yes,Good,None, 587,740  kWh/m²  kilowatt hour per square meters,195 kg CO₂/m²,G,Fuel oil
113,10567435,None,None,2010," 775,000",2,258  m² square meters,Hyper equipped,Yes,None,Yes,None,None,None,None,2,None,None,None,Good,None,None,82  kWh/m²  kilowatt hour per square meters,Not specified,A,Gas
114,10579070,None,None,1974," 349,500",4,185  m² square meters,Semi equipped,No,None,None,40  m²  square meters,None,800  m²  square meters,1204  m²  square meters,4,No,No,None,Good,None, 656,242  kWh/m²  kilowatt hour per square meters,6985 kg CO₂/m²,C,Fuel oil
115,10573837,None,None,2011," 479,000",3,126  m² square meters,USA hyper equipped,None,None,None,27  m²  square meters,None,None,None,2,None,Yes,Yes,Good,None," 1,677",240  kWh/m²  kilowatt hour per square meters,38 kg CO₂/m²,E,None
116,10558971,None,None,2017," 180,000",None,43  m² square meters,USA hyper equipped,No,None,None,5  m²  square meters,None,None,None,2,No,Yes,Yes,As new,None, 958,113  kWh/m²  kilowatt hour per square meters,21 kg CO₂/m²,C,Gas
117,10557389,Oost-Vlaanderen,None,2012," 235,000",1,78  m² square meters,Installed,No,None,None,None,None,None,None,2,No,No,None,Good,None, 508,124  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
118,10451488,None,None,1995," 275,000",3,130  m² square meters,USA installed,No,None,None,14  m²  square meters,None,140  m²  square meters,232  m²  square meters,2,No,None,Yes,Good,None," 1,160",286  kWh/m²  kilowatt hour per square meters,52 kg CO₂/m²,D,Gas
119,10579725,None,None,1977," 269,000",4,196  m² square meters,None,No,None,None,None,None,38  m²  square meters,132  m²  square meters,2,None,No,Yes,To renovate,None,None,393  kWh/m²  kilowatt hour per square meters,Not specified,D,None
120,10579718,None,None,None," 195,000",4,133  m² square meters,Semi equipped,No,None,Yes,None,Yes,None,123  m²  square meters,None,None,None,None,Good,None, 721,586  kWh/m²  kilowatt hour per square meters,Not specified,F,Gas
121,10579716,None,None,None," 125,000",3,98  m² square meters,None,No,None,None,None,None,None,60  m²  square meters,1,None,None,Yes,To renovate,None, 560,262  kWh/m²  kilowatt hour per square meters,52 kg CO₂/m²,D,Gas
