Property ID,Neighbourhood or locality,Type of building,Construction year,Price,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface,Garden,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Elevator,Basement,Building condition,Cadastral income,Primary energy consumption,CO₂ emission,Energy class,Heating type
10579860,Ans,,2022.0,"€ 169,000  169000 €",1.0,65  m² square meters,Not installed,,,,18  m²  square meters,,,,2.0,,,,,,Not specified,Not specified,Not specified,
10579859,Ans,,2022.0,"€ 239,000  239000 €",2.0,97  m² square meters,Not installed,,,,5  m²  square meters,,,,2.0,,,,,,Not specified,Not specified,Not specified,
10579857,Ans,,2022.0,"€ 249,000  249000 €",2.0,106  m² square meters,Not installed,,,,6  m²  square meters,,,,2.0,,,,,,Not specified,Not specified,Not specified,
10579840,,,1971.0,"€ 299,000  299000 €",3.0,246  m² square meters,,No,,Yes,,,,1379  m²  square meters,4.0,No,No,Yes,To be done up,"€ 1,279  1279 €",928  kWh/m²  kilowatt hour per square meters,Not specified,F,Gas
10373646,,,,,3.0,170  m² square meters,Semi equipped,,,,15  m²  square meters,,700  m²  square meters,1200  m²  square meters,3.0,,,,To be done up,€ 704  704 €,649  kWh/m²  kilowatt hour per square meters,Not specified,G,Fuel oil
10579838,bruxelles,,1924.0,"€ 295,000  295000 €",2.0,86  m² square meters,Installed,No,,,7  m²  square meters,,,,2.0,No,No,Yes,Good,,215  kWh/m²  kilowatt hour per square meters,43 kg CO₂/m²,E,Gas
10579836,Genappe,,1920.0,"Make an offer starting from  € 235,000  Make an offer starting from  235000 €",4.0,142  m² square meters,Installed,No,,,,,272  m²  square meters,342  m²  square meters,2.0,No,No,Yes,To be done up,€ 460  460 €,276  kWh/m²  kilowatt hour per square meters,51 kg CO₂/m²,D,Gas
10579834,,,,"€ 398,000  398000 €",2.0,,Hyper equipped,,,Yes,,,,387  m²  square meters,2.0,,,Yes,As new,,162  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
10579833,,,1998.0,"€ 298,000  298000 €",3.0,126  m² square meters,,No,,,,,,970  m²  square meters,4.0,,,,Good,€ 922  922 €,495  kWh/m²  kilowatt hour per square meters,Not specified,E,Electric
10579832,,Bungalow,1967.0,"€ 369,000  369000 €",3.0,187  m² square meters,,No,,,,,,1000  m²  square meters,4.0,No,No,,To renovate,€ 991  991 €,386  kWh/m²  kilowatt hour per square meters,Not specified,D,Fuel oil
10579831,,,1945.0,"Make an offer starting from  € 199,000  Make an offer starting from  199000 €",3.0,115  m² square meters,,No,,,,,,1990  m²  square meters,4.0,,,,To be done up,,508  kWh/m²  kilowatt hour per square meters,Not specified,F,Gas
10579830,,,1984.0,"€ 419,000  419000 €",3.0,279  m² square meters,Semi equipped,,,Yes,,,,1677  m²  square meters,4.0,,,Yes,Good,"€ 1,320  1320 €",421  kWh/m²  kilowatt hour per square meters,Not specified,E,Gas
10579824,,,2002.0,"€ 275,000  275000 €",2.0,115  m² square meters,Hyper equipped,No,,Yes,,,,,2.0,No,No,,Good,,120  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
10579823,,,1989.0,"€ 179,000  179000 €",1.0,66  m² square meters,,No,,Yes,,,,,3.0,No,Yes,,Good,€ 743  743 €,208  kWh/m²  kilowatt hour per square meters,Not specified,C,Fuel oil
10569863,Zuiden van Antwerpen,,1877.0,"€ 850,000  850000 €",7.0,370  m² square meters,Installed,,,,50  m²  square meters,,1060  m²  square meters,1269  m²  square meters,4.0,,No,Yes,To renovate,"€ 1,221  1221 €",584  kWh/m²  kilowatt hour per square meters,Not specified,F,Fuel oil
10578381,Omgeving Kraainem,,1962.0,"€ 775,000  775000 €",3.0,200  m² square meters,Hyper equipped,No,,Yes,,,,669  m²  square meters,4.0,No,No,Yes,Good,"€ 2,692  2692 €",418  kWh/m²  kilowatt hour per square meters,Not specified,E,Gas
10579649,,,2008.0,"€ 675,000  675000 €",5.0,200  m² square meters,USA hyper equipped,,,Yes,,,150  m²  square meters,234  m²  square meters,3.0,,,,As new,"€ 1,365  1365 €",133  kWh/m²  kilowatt hour per square meters,577 kg CO₂/m²,B,
10569004,,,2005.0,"€ 192,000  192000 €",,41  m² square meters,Installed,Yes,,Yes,,,,,4.0,,Yes,Yes,Good,€ 604  604 €,234  kWh/m²  kilowatt hour per square meters,Not specified,C,Electric
10567685,,,1976.0,"€ 195,000  195000 €",1.0,51  m² square meters,Semi equipped,No,,,2  m²  square meters,,,,2.0,Yes,Yes,Yes,Good,€ 867  867 €,79  kWh/m²  kilowatt hour per square meters,20 kg CO₂/m²,B,Gas
10568686,,,1996.0,"€ 265,000  265000 €",2.0,106  m² square meters,Installed,No,,,,,,,4.0,No,Yes,,Good,"€ 1,461  1461 €",118  kWh/m²  kilowatt hour per square meters,Not specified,C,Gas
10568915,,,1946.0,"€ 325,000  325000 €",4.0,235  m² square meters,USA semi equipped,No,,,,,,122  m²  square meters,2.0,No,No,Yes,Good,"€ 1,319  1319 €",217  kWh/m²  kilowatt hour per square meters,54 kg CO₂/m²,C,Fuel oil
10567484,Zone Sud Province du Luxembourg,,1960.0,"€ 329,000  329000 €",5.0,140  m² square meters,Semi equipped,No,,,800  m²  square meters,,200  m²  square meters,1011  m²  square meters,4.0,No,No,,To renovate,"€ 1,011  1011 €",315  kWh/m²  kilowatt hour per square meters,78 kg CO₂/m²,D,Fuel oil
10567500,,,2007.0,"€ 530,000  530000 €",2.0,156  m² square meters,USA hyper equipped,,,,40  m²  square meters,,,,2.0,No,Yes,Yes,As new,"€ 2,135  2135 €",207  kWh/m²  kilowatt hour per square meters,41 kg CO₂/m²,D,Gas
10567505,Bruxelles 9 Communes,,2007.0,"€ 530,000  530000 €",2.0,156  m² square meters,USA hyper equipped,,,,40  m²  square meters,,,,2.0,No,Yes,Yes,As new,"€ 2,135  2135 €",207  kWh/m²  kilowatt hour per square meters,41 kg CO₂/m²,D,Gas
10577975,,,1978.0,"€ 459,000  459000 €",2.0,95  m² square meters,Installed,,,,21  m²  square meters,Yes,,,,No,Yes,,As new,,131  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
10579367,Bruxelles-Sud,,1968.0,"€ 260,000  260000 €",1.0,55  m² square meters,Semi equipped,No,,,25  m²  square meters,,,,2.0,No,Yes,Yes,Good,€ 852  852 €,720  kWh/m²  kilowatt hour per square meters,145 kg CO₂/m²,G,
10568405,Gent en omstreken,,2022.0,"€ 370,000  370000 €",2.0,82  m² square meters,Hyper equipped,No,,,28  m²  square meters,,,,2.0,No,Yes,Yes,As new,€ 1  1 €,1  kWh/m²  kilowatt hour per square meters,Not specified,A,
10568403,Gent en omstreken,,2022.0,"€ 395,000  395000 €",2.0,85  m² square meters,Hyper equipped,No,,,28  m²  square meters,,,,2.0,No,Yes,Yes,As new,€ 1  1 €,1  kWh/m²  kilowatt hour per square meters,Not specified,A,
10566825,,,2003.0,"€ 349,000  349000 €",2.0,118  m² square meters,USA installed,No,,,9  m²  square meters,,,,3.0,No,Yes,,Good,€ 958  958 €,150  kWh/m²  kilowatt hour per square meters,4065 kg CO₂/m²,B,Gas
10576363,BRABANT FLAMAND,,1830.0,"Make an offer starting from  € 295,000  Make an offer starting from  295000 €",3.0,120  m² square meters,Installed,No,,,,,280  m²  square meters,403  m²  square meters,3.0,No,No,,To renovate,€ 275  275 €,1266  kWh/m²  kilowatt hour per square meters,Not specified,F,Electric
10576481,,,1990.0,"€ 419,000  419000 €",3.0,185  m² square meters,Installed,,,Yes,,,,558  m²  square meters,4.0,,,,Good,"€ 1,021  1021 €",468  kWh/m²  kilowatt hour per square meters,Not specified,E,Electric
10575505,,,1850.0,"€ 749,000  749000 €",4.0,296  m² square meters,Installed,No,2.0,,,,350  m²  square meters,23417  m²  square meters,4.0,No,No,,To renovate,€ 797  797 €,773  kWh/m²  kilowatt hour per square meters,Not specified,F,Fuel oil
10575843,Les Woluwes,,1965.0,"€ 535,000  535000 €",4.0,140  m² square meters,USA installed,No,,,23  m²  square meters,,,,2.0,No,Yes,Yes,As new,,693  kWh/m²  kilowatt hour per square meters,149 kg CO₂/m²,G,Gas
10578165,Bruxelles (19 communes),,1900.0,"€ 190,000  190000 €",,51  m² square meters,Installed,No,,,,,,,2.0,No,No,,As new,€ 461  461 €,292  kWh/m²  kilowatt hour per square meters,58 kg CO₂/m²,F,
10547322,Gent en omstreken,,2021.0,"€ 421,000  421000 €",3.0,146  m² square meters,Hyper equipped,No,,,11  m²  square meters,,,,4.0,No,Yes,,As new,€ 1  1 €,1  kWh/m²  kilowatt hour per square meters,Not specified,A,Gas
10547320,Gent en omstreken,,2021.0,"€ 426,000  426000 €",3.0,148  m² square meters,Hyper equipped,No,,,11  m²  square meters,,,,4.0,No,Yes,,As new,€ 1  1 €,1  kWh/m²  kilowatt hour per square meters,Not specified,A,Gas
10566398,,,1909.0,"€ 439,000  439000 €",4.0,282  m² square meters,Installed,,,,40  m²  square meters,Yes,,497  m²  square meters,2.0,,,Yes,To be done up,€ 733  733 €,240  kWh/m²  kilowatt hour per square meters,Not specified,C,Gas
10566078,Oost-Vlaanderen,,1950.0,"€ 615,000  615000 €",5.0,450  m² square meters,Installed,No,,Yes,,,1100  m²  square meters,1260  m²  square meters,4.0,No,No,Yes,Good,"€ 2,315  2315 €",453  kWh/m²  kilowatt hour per square meters,Not specified,E,Fuel oil
10522729,,Villa,1995.0,"€ 645,000  645000 €",5.0,339  m² square meters,Installed,,,,13  m²  square meters,,580  m²  square meters,794  m²  square meters,4.0,No,No,,As new,"€ 2,221  2221 €",142  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
10574546,Waterloo,,1956.0,"Make an offer starting from  € 595,000  Make an offer starting from  595000 €",4.0,151  m² square meters,Installed,No,,Yes,,,460  m²  square meters,544  m²  square meters,4.0,Yes,No,,Good,"€ 2,638  2638 €",255  kWh/m²  kilowatt hour per square meters,47 kg CO₂/m²,C,Gas
10574203,Bruxelles,,1925.0,"€ 1,995,000  1995000 €",5.0,700  m² square meters,USA hyper equipped,No,,,175  m²  square meters,,300  m²  square meters,2500  m²  square meters,4.0,No,No,Yes,As new,,249  kWh/m²  kilowatt hour per square meters,67 kg CO₂/m²,E,Fuel oil
10573838,,,2013.0,"€ 149,000  149000 €",,34  m² square meters,Installed,Yes,,,,,,,2.0,,Yes,,Good,,241  kWh/m²  kilowatt hour per square meters,38 kg CO₂/m²,E,Electric
10579822,,,1996.0,"€ 345,000  345000 €",3.0,138  m² square meters,Installed,No,,Yes,,,,795  m²  square meters,4.0,,,,Good,,371  kWh/m²  kilowatt hour per square meters,Not specified,D,Gas
10579820,,,,"€ 270,000  270000 €",3.0,194  m² square meters,,No,,,,,,400  m²  square meters,3.0,No,No,Yes,Good,€ 416  416 €,310  kWh/m²  kilowatt hour per square meters,Not specified,D,Gas
10384233,Charleroi,,,"Make an offer starting from  € 479,900  Make an offer starting from  479900 €",7.0,168  m² square meters,Installed,Yes,,,,,,56  m²  square meters,2.0,No,No,Yes,Good,"€ 1,412  1412 €",617  kWh/m²  kilowatt hour per square meters,115 kg CO₂/m²,G,
10449403,,Town-house,1954.0,"€ 349,000  349000 €",3.0,294  m² square meters,,No,,,,,,144  m²  square meters,3.0,No,No,Yes,Good,€ 773  773 €,294  kWh/m²  kilowatt hour per square meters,Not specified,C,Gas
10017885,,,,"€ 320,000  320000 €",3.0,151  m² square meters,Installed,No,,Yes,,,,1343  m²  square meters,4.0,,,Yes,To be done up,,552  kWh/m²  kilowatt hour per square meters,Not specified,F,
10579804,,,1850.0,"€ 189,000  189000 €",2.0,115  m² square meters,,No,,,,,,190  m²  square meters,2.0,No,No,,To be done up,€ 287  287 €,367  kWh/m²  kilowatt hour per square meters,Not specified,D,Gas
10579786,,,,"€ 159,000  159000 €",3.0,250  m² square meters,Not installed,No,,,10  m²  square meters,,,60  m²  square meters,2.0,No,No,,To renovate,€ 594  594 €,270  kWh/m²  kilowatt hour per square meters,1872 kg CO₂/m²,D,Gas
10579785,,,1962.0,"€ 725,000  725000 €",3.0,261  m² square meters,Installed,,,,8  m²  square meters,,,184  m²  square meters,2.0,No,No,Yes,To renovate,"€ 3,036  3036 €",261  kWh/m²  kilowatt hour per square meters,64 kg CO₂/m²,E,Fuel oil
10579777,,,2007.0,"€ 535,000  535000 €",2.0,110  m² square meters,Installed,No,,Yes,,,88  m²  square meters,,3.0,No,Yes,,As new,"€ 2,163  2163 €",162  kWh/m²  kilowatt hour per square meters,31 kg CO₂/m²,B,Gas
10484332,,,2009.0,"€ 350,000  350000 €",6.0,235  m² square meters,Installed,No,,,,,,991  m²  square meters,3.0,,,,Good,€ 745  745 €,187  kWh/m²  kilowatt hour per square meters,35 kg CO₂/m²,C,Gas
10579769,,,,"€ 215,000  215000 €",1.0,54  m² square meters,Hyper equipped,No,,,10  m²  square meters,,,,,,,,As new,,77.34  kWh/m²  kilowatt hour per square meters,Not specified,A,Gas
10579768,,,,"€ 178,000  178000 €",1.0,52  m² square meters,Installed,No,,Yes,,,,,,No,Yes,,Good,€ 711  711 €,551  kWh/m²  kilowatt hour per square meters,Not specified,F,Gas
10579766,,,2013.0,"€ 3,350,000  3350000 €",4.0,400  m² square meters,Hyper equipped,No,,Yes,,,,1400  m²  square meters,4.0,No,No,Yes,As new,,69  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
10579764,,,1954.0,"€ 820,000  820000 €",3.0,192  m² square meters,Installed,No,,Yes,,,,3190  m²  square meters,4.0,No,No,,,"€ 3,842  3842 €",346  kWh/m²  kilowatt hour per square meters,86 kg CO₂/m²,E,
10516606,,,,"€ 57,500  57500 €",1.0,72  m² square meters,Not installed,No,,,,,,64  m²  square meters,2.0,,,,To be done up,,691  kWh/m²  kilowatt hour per square meters,Not specified,G,
10579762,,,,"Make an offer starting from  € 125,000  Make an offer starting from  125000 €",1.0,60  m² square meters,Installed,,,,,,,,2.0,,,Yes,,,324  kWh/m²  kilowatt hour per square meters,60 kg CO₂/m²,D,Fuel oil
10579761,,,,"€ 259,000  259000 €",3.0,,Installed,,,,,,,207  m²  square meters,4.0,,,,,€ 547  547 €,Not specified,Not specified,Not specified,
10579756,,,,"Make an offer starting from  € 280,000  Make an offer starting from  280000 €",6.0,200  m² square meters,,,,Yes,,,,326  m²  square meters,4.0,,,,,,Not specified,Not specified,Not specified,
10579755,,,1930.0,"€ 225,000  225000 €",5.0,121  m² square meters,,No,,,,,,296  m²  square meters,2.0,,,,To be done up,,563  kWh/m²  kilowatt hour per square meters,Not specified,G,
10579754,,,,"€ 368,000  368000 €",2.0,109  m² square meters,,No,,,,,,,3.0,No,No,,Good,,267  kWh/m²  kilowatt hour per square meters,Not specified,C,Gas
10579750,,,,"€ 185,000  185000 €",6.0,207  m² square meters,Semi equipped,No,,,,,,,,,,,Good,,332  kWh/m²  kilowatt hour per square meters,Not specified,D,Gas
10579749,,,,"€ 619,000  619000 €",5.0,372  m² square meters,Installed,No,,Yes,,Yes,,249  m²  square meters,,Yes,No,Yes,Good,"€ 1,437  1437 €",350  kWh/m²  kilowatt hour per square meters,Not specified,D,Gas
10579748,,,,"€ 240,000  240000 €",1.0,72  m² square meters,Hyper equipped,No,,,,,,,2.0,,,Yes,Good,,501  kWh/m²  kilowatt hour per square meters,100 kg CO₂/m²,G,
10579742,,,2013.0,"€ 589,000  589000 €",4.0,200  m² square meters,USA hyper equipped,No,,Yes,,,100  m²  square meters,,4.0,No,No,Yes,As new,"€ 2,717  2717 €",387  kWh/m²  kilowatt hour per square meters,110 kg CO₂/m²,E,Electric
10515442,,,,"€ 59,500  59500 €",1.0,115  m² square meters,Not installed,No,,,,,,50  m²  square meters,2.0,,,Yes,To be done up,,652  kWh/m²  kilowatt hour per square meters,Not specified,G,
10539323,,,,"€ 117,000  117000 €",2.0,150  m² square meters,Not installed,No,,,,,,120  m²  square meters,2.0,,,Yes,To be done up,,691  kWh/m²  kilowatt hour per square meters,Not specified,G,
10438305,,,1978.0,"€ 560,000  560000 €",2.0,120  m² square meters,Hyper equipped,No,,,8  m²  square meters,,,,,No,Yes,Yes,As new,,225  kWh/m²  kilowatt hour per square meters,Not specified,E,Gas
10579734,,,,"€ 315,000  315000 €",2.0,128  m² square meters,Installed,No,,,43  m²  square meters,,,,3.0,,,,Just renovated,€ 908  908 €,242  kWh/m²  kilowatt hour per square meters,Not specified,C,Electric
10509623,,,,"€ 123,000  123000 €",1.0,56  m² square meters,Installed,No,,,12  m²  square meters,,50  m²  square meters,,2.0,,Yes,,,€ 592  592 €,235  kWh/m²  kilowatt hour per square meters,Not specified,C,Gas
10579728,,,1936.0,"€ 350,000  350000 €",3.0,147  m² square meters,Installed,No,,,33  m²  square meters,,90  m²  square meters,220  m²  square meters,2.0,,,,Good,€ 440  440 €,184  kWh/m²  kilowatt hour per square meters,1000 kg CO₂/m²,B,Gas
10572643,,,1993.0,"€ 269,000  269000 €",3.0,119  m² square meters,Installed,No,,Yes,,,,,2.0,,No,,Good,,420  kWh/m²  kilowatt hour per square meters,Not specified,E,Electric
10572259,,,2011.0,"€ 349,000  349000 €",3.0,110  m² square meters,Installed,,,,8  m²  square meters,,,,,No,No,,As new,,207  kWh/m²  kilowatt hour per square meters,Not specified,C,Gas
10560964,1 - Bruxelles Centre,,2020.0,"€ 450,000  450000 €",3.0,148  m² square meters,USA hyper equipped,No,,,33  m²  square meters,,,,3.0,No,Yes,Yes,As new,,82  kWh/m²  kilowatt hour per square meters,23 kg CO₂/m²,B,Gas
10563238,Les Woluwes,,1966.0,"€ 245,000  245000 €",,46  m² square meters,Installed,No,,,6  m²  square meters,,,,2.0,No,Yes,Yes,Just renovated,"€ 1,036  1036 €",131  kWh/m²  kilowatt hour per square meters,26 kg CO₂/m²,C,Gas
10562978,,,2003.0,"€ 335,000  335000 €",2.0,95  m² square meters,Semi equipped,,,,32  m²  square meters,,,,2.0,,,,Good,€ 870  870 €,126  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
10193358,Nivelles,,1875.0,"Make an offer starting from  € 360,000  Make an offer starting from  360000 €",4.0,207  m² square meters,Installed,No,,Yes,,,518  m²  square meters,608  m²  square meters,2.0,,,Yes,To be done up,€ 814  814 €,533  kWh/m²  kilowatt hour per square meters,98 kg CO₂/m²,G,Gas
10571758,,,1975.0,"€ 690,000  690000 €",7.0,405  m² square meters,Installed,Yes,,,,,4534  m²  square meters,4534  m²  square meters,4.0,,,Yes,To renovate,"€ 2,691  2691 €",467  kWh/m²  kilowatt hour per square meters,1000 kg CO₂/m²,E,Electric
10572432,,,1850.0,"€ 330,000  330000 €",3.0,184  m² square meters,USA installed,No,,,,,,,2.0,No,Yes,,As new,,158  kWh/m²  kilowatt hour per square meters,31 kg CO₂/m²,B,
10572658,1 - Bruxelles Nord et Ouest,,2021.0,"€ 560,000  560000 €",3.0,149  m² square meters,USA hyper equipped,No,,,36  m²  square meters,,,,3.0,No,Yes,Yes,As new,,44.65  kWh/m²  kilowatt hour per square meters,8 kg CO₂/m²,A,
10572149,Brussel (19 gemeenten),,1973.0,"€ 190,000  190000 €",,44  m² square meters,Semi equipped,Yes,,,,,,,2.0,No,Yes,,Good,,285  kWh/m²  kilowatt hour per square meters,Not specified,F,Gas
10558643,Bruxelles-Nord,,2025.0,"€ 326,000  326000 €",2.0,81  m² square meters,USA installed,No,,,6  m²  square meters,,,,3.0,No,Yes,Yes,As new,,45  kWh/m²  kilowatt hour per square meters,45 kg CO₂/m²,A,Gas
10374224,,Apartment building,2016.0,"€ 449,000  449000 €",3.0,112  m² square meters,Installed,Yes,,Yes,,,,,4.0,No,Yes,,As new,,58  kWh/m²  kilowatt hour per square meters,Not specified,A,Gas
10558630,Bruxelles-Nord,,2025.0,"€ 484,000  484000 €",3.0,126  m² square meters,Hyper equipped,,,,13  m²  square meters,,,,4.0,No,Yes,Yes,As new,,44  kWh/m²  kilowatt hour per square meters,44 kg CO₂/m²,A,Gas
10579632,Knokke,,1989.0,"€ 4,995,000  4995000 €",7.0,499  m² square meters,USA hyper equipped,No,,Yes,,,,1174  m²  square meters,4.0,Yes,No,Yes,As new,"€ 2,736  2736 €",152  kWh/m²  kilowatt hour per square meters,Not specified,B,Gas
10561327,,,1939.0,"€ 375,000  375000 €",3.0,214  m² square meters,Not installed,No,,,,,,,2.0,No,Yes,Yes,To be done up,"€ 1,765  1765 €",380  kWh/m²  kilowatt hour per square meters,70 kg CO₂/m²,E,Gas
10561076,Huy et 5kms,,2009.0,"€ 440,000  440000 €",3.0,195  m² square meters,Installed,No,,,30  m²  square meters,,515  m²  square meters,870  m²  square meters,4.0,,,,As new,€ 847  847 €,170  kWh/m²  kilowatt hour per square meters,43 kg CO₂/m²,B,Fuel oil
10574079,,,1910.0,"€ 460,000  460000 €",5.0,328  m² square meters,Installed,No,,,,,,1440  m²  square meters,4.0,,,,As new,€ 964  964 €,319  kWh/m²  kilowatt hour per square meters,Not specified,D,Gas
10567502,,,1968.0,"€ 175,000  175000 €",,41  m² square meters,Installed,No,,,,,,,2.0,No,Yes,Yes,Good,€ 587  587 €,740  kWh/m²  kilowatt hour per square meters,195 kg CO₂/m²,G,Fuel oil
10567435,,,2010.0,"€ 775,000  775000 €",2.0,258  m² square meters,Hyper equipped,Yes,,Yes,,,,,2.0,,,,Good,,82  kWh/m²  kilowatt hour per square meters,Not specified,A,Gas
10579070,,,1974.0,"€ 349,500  349500 €",4.0,185  m² square meters,Semi equipped,No,,,40  m²  square meters,,800  m²  square meters,1204  m²  square meters,4.0,No,No,,Good,€ 656  656 €,242  kWh/m²  kilowatt hour per square meters,6985 kg CO₂/m²,C,Fuel oil
10573837,,,2011.0,"€ 479,000  479000 €",3.0,126  m² square meters,USA hyper equipped,,,,27  m²  square meters,,,,2.0,,Yes,Yes,Good,"€ 1,677  1677 €",240  kWh/m²  kilowatt hour per square meters,38 kg CO₂/m²,E,
